X,Y,AREA,PERIMETER,GEMSTR_,GEMSTR_ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
-92.1097363456218,47.6063162626276,0.00000,0.00000,"347","347",,ST,A12,MGS,"19970318","566913","5272929","15",,SA505,"19961028",MJS,,NB:MJS/FM:318D.W1,M1,P,"145","64","1","1","137","12000","215"
-92.1228486244447,47.5950937933688,0.00000,0.00000,"348","348",,ST,A12,MGS,"19970318","565941","5271670","15",,SA458,"19961002",MJS,,NB:MJS/FM:318D.W2,SB,P,"155","87","1","1","80","200000","205"
-92.1139123630194,47.6006266453607,0.00000,0.00000,"349","349",,ST,A12,MGS,"19970318","566606","5272293","15",,SA426,"19960930",MJS,,NB:MJS/FM:318D.W1,SB,P,"90","90","4","1","87","12000","270"
-92.1139991643719,47.6005581468706,0.00000,0.00000,"350","350",,ST,A12,MGS,"19970318","566600","5272285","15",,SA426,"19960930",MJS,,NB:MJS/FM:318D.W1,M1,P,"157","74","2","1","137","12000","203"
-92.1145990138296,47.6005858453783,0.00000,0.00000,"351","351",,ST,A12,MGS,"19970318","566554","5272288","15",,SA426.01,"19960930",MJS,,NB:MJS/FM:318D.W1,SB,P,"95","90","1","1","87","12000","265"
-92.1152620717813,47.6005634168403,0.00000,0.00000,"352","352",,ST,A12,MGS,"19970318","566505","5272285","15",,SA427,"19960930",MJS,,NB:MJS/FM:318D.W1,M1,P,"155","65","2","1","137","12000","205"
-92.1152165260967,47.6006507931265,0.00000,0.00000,"353","353",,ST,A12,MGS,"19970318","566508","5272295","15",,SA427,"19960930",MJS,,NB:MJS/FM:318D.W1,SB,P,"145","85","1","1","80","12000","215"
-92.1157619802739,47.5976497491026,0.00000,0.00000,"354","354",,ST,A12,MGS,"19970318","566471","5271961","15",,SA457,"19961002",MJS,,NB:MJS/FM:318D.W2,SB,P,"160","78","2","1","80","12000","200"
-92.1061924051861,47.5988137418557,0.00000,0.00000,"355","355",,ST,A12,MGS,"19970318","567189","5272098","15",,SA421,"19960930",MJS,,NB:MJS/FM:318D.W2,SB,P,"150","77","1","1","80","12000","210"
-92.1063654802302,47.5988544585132,0.00000,0.00000,"356","356",,ST,A12,MGS,"19970318","567176","5272102","15",,SA421,"19960930",MJS,,NB:MJS/FM:318D.W2,M1,P,"145","90","2","1","139","12000","215"
-92.1057707575433,47.5994037396482,0.00000,0.00000,"357","357",,ST,A12,MGS,"19970318","567220","5272164","15",,SA422,"19960930",MJS,,NB:MJS/FM:318D.W2,SB,P,"155","75","1","1","80","12000","205"
-92.1073992494434,47.5997145020182,0.00000,0.00000,"358","358",,ST,A12,MGS,"19970318","567097","5272197","15",,SA423,"19960930",MJS,,NB:MJS/FM:318D.W1,SB,P,"155","90","1","1","87","12000","205"
-92.1106492177345,47.5994805514793,0.00000,0.00000,"359","359",,ST,A12,MGS,"19970318","566853","5272168","15",,SA448,"19961001",MJS,,NB:MJS/FM:318D.W1,SB,P,"167","75","1","1","80","12000","193"
-92.1106779638627,47.6004306029328,0.00000,0.00000,"360","360",,ST,A12,MGS,"19970318","566849","5272274","15",,SA425,"19960930",MJS,,NB:MJS/FM:318D.W1,M1,P,"151","81","1","1","137","12000","209"
-92.1104997194437,47.6004489005345,0.00000,0.00000,"361","361",,ST,A12,MGS,"19970318","566863","5272276","15",,SA425.01,"19960930",MJS,,NB:MJS/FM:318D.W1,SB,P,"163","75","2","1","80","12000","197"
-92.0997785115378,47.6046699546531,0.00000,0.00000,"362","362",,ST,A12,MGS,"19970318","567663","5272755","15",,SA437.02,"19961001",MJS,,NB:MJS/FM:318D.W1,SB,P,"176","90","1","1","87","12000","184"
-92.1005164739298,47.6045019867658,0.00000,0.00000,"363","363",,ST,A12,MGS,"19970318","567608","5272735","15",,SA437,"19961001",MJS,,NB:MJS/FM:318D.W1,SB,P,"312","77","1","1","80","12000","48"
-92.1005621051283,47.6045079689494,0.00000,0.00000,"364","364",,ST,A12,MGS,"19970318","567604","5272736","15",,SA437,"19961001",MJS,,NB:MJS/FM:318D.W1,M1,P,"317","69","1","1","137","12000","43"
-92.1042362778455,47.603169120244,0.00000,0.00000,"365","365",,ST,A12,MGS,"19970318","567330","5272584","15",,SA436.05,"19961001",MJS,,NB:MJS/FM:318D.W1,M1,P,"160","80","1","1","137","12000","200"
-92.1049809312507,47.6044059531387,0.00000,0.00000,"366","366",,ST,A12,MGS,"19970318","567272","5272721","15",,SA436,"19961001",MJS,,NB:MJS/FM:318D.W1,M1,P,"325","83","2","1","137","12000","35"
-92.1049839739647,47.6043739223702,0.00000,0.00000,"367","367",,ST,A12,MGS,"19970318","567272","5272717","15",,SA436,"19961001",MJS,,NB:MJS/FM:318D.W1,SB,P,"155","84","3","1","80","12000","205"
-92.105114187235,47.6050739548162,0.00000,0.00000,"368","368",,ST,A12,MGS,"19970318","567262","5272795","15",,SA438,"19961001",MJS,,NB:MJS/FM:318D.W1,M1,P,"164","84","1","1","137","12000","196"
-92.1050544111315,47.6050684262083,0.00000,0.00000,"369","369",,ST,A12,MGS,"19970318","567266","5272794","15",,SA438,"19961001",MJS,,NB:MJS/FM:318D.W1,GS,L,"24","0","1","1","2","12000","336"
-92.1045012233045,47.6062951069214,0.00000,0.00000,"370","370",,ST,A12,MGS,"19970318","567306","5272931","15",,SA446,"19961001",MJS,,NB:MJS/FM:318D.W1,M1,P,"173","90","1","1","139","12000","187"
-92.1025402348647,47.6066930830109,0.00000,0.00000,"371","371",,ST,A12,MGS,"19970318","567453","5272977","15",,SA441,"19961001",MJS,,NB:MJS/FM:318D.W1,GS,L,"10","0","1","1","2","12000","350"
-92.1024396104097,47.6064026783517,0.00000,0.00000,"372","372",,ST,A12,MGS,"19970318","567461","5272945","15",,SA440,"19961001",MJS,,NB:MJS/FM:318D.W1,GS,L,"20","0","1","1","2","12000","340"
-92.1024086716642,47.6063641952243,0.00000,0.00000,"373","373",,ST,A12,MGS,"19970318","567463","5272941","15",,SA440,"19961001",MJS,,NB:MJS/FM:318D.W1,M1,P,"163","83","1","1","137","12000","197"
-92.1022074521087,47.6081554220554,0.00000,0.00000,"374","374",,ST,A12,MGS,"19970318","567476","5273140","15",,SA442.01,"19961001",MJS,,NB:MJS/FM:318D.W1,DB,P,"110","90","1","1","112","12000","250"
-92.1021273384846,47.6080749384759,0.00000,0.00000,"375","375",,ST,A12,MGS,"19970318","567482","5273131","15",,SA442,"19961001",MJS,,NB:MJS/FM:318D.W1,M1,P,"85","90","1","1","139","12000","275"
-92.1029402053372,47.6084389731997,0.00000,0.00000,"376","376",,ST,A12,MGS,"19970318","567421","5273171","15",,SA443,"19961001",MJS,,NB:MJS/FM:318D.W1,GS,L,"25","0","1","1","2","12000","335"
-92.1031285139664,47.608175014813,0.00000,0.00000,"377","377",,ST,A12,MGS,"19970318","567407","5273141","15",,SA444,"19961001",MJS,,NB:MJS/FM:318D.W1,M1,P,"168","90","3","1","139","12000","192"
-92.1033012687991,47.6077995869026,0.00000,0.00000,"378","378",,ST,A12,MGS,"19970318","567394","5273099","15",,SA445,"19961001",MJS,,NB:MJS/FM:318D.W1,SB,P,"185","81","2","1","80","12000","175"
-92.1033775471142,47.6077158303982,0.00000,0.00000,"379","379",,ST,A12,MGS,"19970318","567389","5273090","15",,SA445,"19961001",MJS,,NB:MJS/FM:318D.W1,M1,P,"189","85","1","1","137","12000","171"
-92.0891125160709,47.6187024909708,0.00000,0.00000,"380","380",,ST,A12,MGS,"19970318","568447","5274323","15",,SA489.11,"19961008",MJS,,NB:MJS/FM:318D.W1,M1,P,"20","90","1","1","139","12000","340"
-92.0846225875188,47.6150040261041,0.00000,0.00000,"381","381",,ST,A12,MGS,"19970318","568789","5273916","15",,SA484.01,"19961008",MJS,,NB:MJS/FM:318D.W1,SB,P,"130","18","1","1","80","12000","230"
-92.0851230395805,47.614731908722,0.00000,0.00000,"382","382",,ST,A12,MGS,"19970318","568752","5273886","15",,SA484,"19961008",MJS,,NB:MJS/FM:318D.W1,SB,P,"105","11","1","1","80","12000","255"
-92.0876045142007,47.6133188236449,0.00000,0.00000,"383","383",,ST,A12,MGS,"19970318","568567","5273726","15",,SA485,"19961008",MJS,,NB:MJS/FM:318D.W1,M1,P,"20","90","1","1","139","12000","340"
-92.0862061313321,47.610959254262,0.00000,0.00000,"384","384",,ST,A12,MGS,"19970318","568675","5273465","15",,SA483.05,"19961007",MJS,,NB:MJS/FM:318D.W1,M1,P,"10","90","1","1","139","12000","350"
-92.0833969209531,47.6107197223094,0.00000,0.00000,"385","385",,ST,A12,MGS,"19970318","568886","5273441","15",,SA482,"19961007",MJS,,NB:MJS/FM:318D.C1,SB,P,"90","18","1","1","80","12000","270"
-92.081548419739,47.6103764869486,0.00000,0.00000,"386","386",,ST,A12,MGS,"19970318","569026","5273405","15",,SA481,"19961007",MJS,,NB:MJS/FM:318D.C1,SB,P,"125","12","2","1","80","12000","235"
-92.0855731522745,47.6040692238684,0.00000,0.00000,"387","387",,ST,A12,MGS,"19970318","568732","5272700","15",,SA491,"19961011",MJS,,NB:MJS/FM:318D.W1,M1,P,"5","90","1","1","139","12000","355"
-92.0866901200964,47.6088177138759,0.00000,0.00000,"388","388",,ST,A12,MGS,"19970318","568641","5273227","15",,SA487,"19961008",MJS,,NB:MJS/FM:318D.W1,M1,P,"175","85","1","1","137","12000","185"
-92.0796533087705,47.6080994536135,0.00000,0.00000,"389","389",,ST,A12,MGS,"19970318","569171","5273153","15",,SA466,"19961007",MJS,,NB:MJS/FM:318D.C1,SB,P,"290","25","2","1","80","12000","70"
-92.0800121131377,47.6048153426587,0.00000,0.00000,"390","390",,ST,A12,MGS,"19970318","569149","5272788","15",,SA464,"19961007",MJS,,NB:MJS/FM:318D.C1,SB,P,"2","82","1","1","80","12000","358"
-92.0799997889682,47.6047123316625,0.00000,0.00000,"391","391",,ST,A12,MGS,"19970318","569150","5272777","15",,SA464,"19961007",MJS,,NB:MJS/FM:318D.C1,M1,P,"345","78","1","1","137","12000","15"
-92.0803770753513,47.6048199624093,0.00000,0.00000,"392","392",,ST,A12,MGS,"19970318","569121","5272788","15",,SA467,"19961007",MJS,,NB:MJS/FM:318D.C1,SB,P,"120","25","2","1","80","12000","240"
-92.0805704582606,47.603185047013,0.00000,0.00000,"393","393",,ST,A12,MGS,"19970318","569109","5272606","15",,SA468,"19961007",MJS,,NB:MJS/FM:318D.C1,SB,P,"200","80","2","1","80","12000","160"
-92.0849479575596,47.6002604201486,0.00000,0.00000,"394","394",,ST,A12,MGS,"19970318","568784","5272278","15",,SA471.02Q,"19961007",MJS,,NB:MJS/FM:318D.W1,SB,P,"360","15","1","1","80","12000","0"
-92.0840911949754,47.6002333229965,0.00000,0.00000,"395","395",,ST,A12,MGS,"19970318","568848","5272275","15",,SA471Q,"19961007",MJS,,NB:MJS/FM:318D.W1,SB,P,"360","15","1","1","80","12000","0"
-92.0756506921565,47.5941819545925,0.00000,0.00000,"396","396",,ST,A12,MGS,"19970318","569491","5271610","15",,SA462,"19961007",MJS,,NB:MJS/FM:318D.C2,SB,P,"80","67","1","1","80","200000","280"
-92.0762281355895,47.5942962764143,0.00000,0.00000,"397","397",,ST,A12,MGS,"19970318","569447","5271622","15",,SA461.01,"19961007",MJS,,NB:MJS/FM:318D.C2,SB,P,"80","65","1","1","80","12000","280"
-92.0762354031317,47.594402621351,0.00000,0.00000,"398","398",,ST,A12,MGS,"19970318","569446","5271634","15",,SA461,"19961007",MJS,,NB:MJS/FM:318D.C2,SB,P,"80","60","1","1","80","12000","280"
-92.0765999218381,47.5961241383014,0.00000,0.00000,"399","399",,ST,A12,MGS,"19970318","569417","5271825","15",,SA463,"19961007",MJS,,NB:MJS/FM:318D.C2,SB,P,"230","81","2","1","80","12000","130"
-92.078582259149,47.5973823677819,0.00000,0.00000,"400","400",,ST,A12,MGS,"19970318","569266","5271963","15",,SA459,"19961007",MJS,,NB:MJS/FM:318D.C2,SB,P,"115","23","1","1","80","12000","245"
-92.0791762218933,47.5962298081389,0.00000,0.00000,"401","401",,ST,A12,MGS,"19970318","569223","5271835","15",,SA460.01,"19961007",MJS,,NB:MJS/FM:318D.C2,SB,P,"130","20","1","1","80","12000","230"
-92.0791134598539,47.5965835907751,0.00000,0.00000,"402","402",,ST,A12,MGS,"19970318","569227","5271874","15",,SA460,"19961007",MJS,,NB:MJS/FM:318D.C2,SB,P,"97","29","1","1","80","12000","263"
-92.0783024312878,47.5649790302518,0.00000,0.00000,"403","403",,ST,A12,MGS,"19970318","569330","5268362","15",,SA199,"19960801",MJS,,NB:MJS/FM:318D.C3,IL,P,"114","11","2","1","103","200000","246"
-92.0464863971877,47.5736465413267,0.00000,0.00000,"404","404",,ST,A12,MGS,"19970318","571711","5269355","15",,SA418,"19960923",MJS,,NB:MJS/FM:318D.C2,IL,P,"155","9","1","1","103","12000","205"
-92.0387313389581,47.574676046868,0.00000,0.00000,"405","405",,ST,A12,MGS,"19970318","572293","5269476","15",,SA020,"19960618",MJS,,NB:MJS/FM:318D.E2,IL,P,"139","7","2","1","103","12000","221"
-92.0379183979447,47.5791630571036,0.00000,0.00000,"406","406",,ST,A12,MGS,"19970318","572348","5269976","15",,SA022,"19960618",MJS,,NB:MJS/FM:318D.E2,IL,P,"138","6","2","1","103","12000","222"
-92.0362370297117,47.5792079632449,0.00000,0.00000,"407","407",,ST,A12,MGS,"19970318","572474","5269982","15",,SA023,"19960618",MJS,,NB:MJS/FM:318D.E2,IL,P,"356","25","3","1","103","12000","4"
-92.0010023035112,47.6000613883123,0.00000,0.00000,"408","408",,ST,A12,MGS,"19970318","575094","5272333","15",,SA054,"19960624",MJS,,NB:MJS/FM:318D.E1,LF,L,"45","17","1","1","163","12000","315"
-92.0009047476696,47.5979421271017,0.00000,0.00000,"409","409",,ST,A12,MGS,"19970318","575104","5272098","15",,SA053.07,"19960624",MJS,,NB:MJS/FM:318D.E1,VB,P,"355","0","1","1","120","12000","5"
-92.0006089759643,47.5976696127755,0.00000,0.00000,"410","410",,ST,A12,MGS,"19970318","575127","5272068","15",,SA053.02,"19960624",MJS,,NB:MJS/FM:318D.E1,IL,P,"320","5","1","1","103","12000","40"
-92.00165729875,47.5957138726578,0.00000,0.00000,"411","411",,ST,A12,MGS,"19970318","575051","5271849","15",,SA036,"19960620",MJS,,NB:MJS/FM:318D.E2,IL,P,"122","14","2","1","103","12000","238"
-92.0034580683397,47.5957588041838,0.00000,0.00000,"412","412",,ST,A12,MGS,"19970318","574916","5271853","15",,SA038,"19960624",MJS,,NB:MJS/FM:318D.E2,DM,,"40","90","1","1","0","12000","320"
-92.0035009762485,47.5957321843704,0.00000,0.00000,"413","413",,ST,A12,MGS,"19970318","574912","5271850","15",,SA038,"19960624",MJS,,NB:MJS/FM:318D.E2,IL,P,"262","12","3","1","103","12000","98"
-92.0060325214934,47.5954280221234,0.00000,0.00000,"414","414",,ST,A12,MGS,"19970318","574723","5271813","15",,SA040,"19960624",MJS,,NB:MJS/FM:318D.E2,IM,P,"310","17","1","1","73","12000","50"
