Sample,Location,Unit,Type,Wgt,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,Cr2O3,Ni,Sc,LOI,Sum,Ba,Be,Co,Cs,Ga,Hf,Nb,Rb,Sn,Sr,Ta,Th,U,V,W,Zr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,TOT/C,TOT/S,Mo,Cu,Pb,Zn,Ni,As,Cd,Sb,Bi,Ag,Au,Hg,Tl,Se
BBC13,Beaver Bay,BRD,Rock,1.04,47.77,17.77,11.77,7.08,10.47,2.53,0.34,0.85,0.08,0.16,0.026,97,23,0.9,99.77,130,2,61,1.2,18.7,2.2,5.3,8.1,<1,306.5,0.4,0.8,0.2,158,0.6,75.7,17.4,10.1,21.4,2.76,12.6,3.13,1.07,3.35,0.57,3.28,0.68,1.85,0.25,1.79,0.26,<0.02,<0.02,0.2,75.4,2.1,59,87.7,0.5,<0.1,<0.1,<0.1,<0.1,1.2,<0.01,<0.1,<0.5
BBC14,Beaver Bay,BRD,Rock,1.62,47.2,16.95,11.76,7.21,10.37,2.36,0.29,1.58,0.16,0.17,0.029,164,32,1.7,99.82,122,<1,52.7,3.2,19.4,3.1,8.8,9.1,<1,290.4,0.6,1.1,0.2,241,<0.5,109.4,21.5,13.1,26.2,3.6,15.9,4.06,1.44,4.45,0.73,4.16,0.83,2.38,0.37,2.32,0.33,0.02,<0.02,0.3,126.2,14,64,107.5,1.9,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,0.1,<0.5
SB10,Silver Bay,BRD,Rock,1.02,48.12,18.12,11.8,4.95,10.29,2.82,0.48,1.56,0.15,0.15,0.014,69,25,1.3,99.77,174,<1,47.9,0.3,22.3,3.9,10.1,11.2,<1,336,0.6,1.2,0.2,224,<0.5,132.4,28.1,16,34.2,4.46,19.1,4.64,1.56,4.97,0.85,5.26,0.98,2.82,0.42,2.61,0.39,0.02,<0.02,0.3,125,1.3,53,49.5,0.8,<0.1,<0.1,<0.1,<0.1,1.9,<0.01,<0.1,<0.5
SB11,Silver Bay,BRD,Rock,1.21,51.11,18.47,10.43,2.49,9.24,3.19,1.08,1.83,0.23,0.14,0.005,<20,20,1.5,99.77,363,<1,29.3,0.5,24.6,6.5,17,30.1,<1,345.5,1.1,3.1,0.8,190,<0.5,247.8,38.8,27.1,62.3,7.67,32.9,7.58,2.11,7.73,1.26,7.5,1.47,4.21,0.62,3.77,0.57,0.06,<0.02,0.6,118.5,1.7,54,10.3,1,<0.1,<0.1,<0.1,<0.1,2.5,<0.01,<0.1,<0.5
SB12,Silver Bay,BRD,Rock,1.08,50.4,11.8,16.52,3.72,8,2.72,1.13,3.17,0.39,0.25,<0.002,<20,38,1.6,99.72,395,2,42.7,0.4,24.3,9.1,25.6,34.1,2,243.3,1.9,4.8,1.2,211,1,324.4,58.5,41.2,86.2,11.51,50.1,10.96,3,11.73,1.88,11.69,2.2,6.29,0.92,5.7,0.84,<0.02,<0.02,0.4,185.6,2.7,65,3.3,1,<0.1,<0.1,<0.1,<0.1,3,<0.01,<0.1,<0.5
SB13,Silver Bay,BRD,Rock,0.87,51.19,11.03,17.55,2.47,7.06,2.75,1.62,2.45,1,0.25,<0.002,<20,34,2.3,99.7,545,2,32,0.6,23.5,11.3,29.3,53.7,3,223.1,1.6,6.4,1.4,11,1.1,433.1,74.1,53.9,122.2,15.83,67.5,15.67,3.55,15.98,2.5,14.48,2.8,7.73,1.08,6.75,0.98,0.11,<0.02,1,342.4,4.2,102,0.5,1.1,0.2,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,0.8
SB14,Silver Bay,BRD,Rock,1.04,44.55,12.59,20.3,3.75,8.21,2.92,0.79,3.79,1.74,0.25,<0.002,<20,25,0.8,99.68,359,5,58.1,0.3,23.6,5.2,17.7,18.5,1,315,1.2,2.5,0.6,38,<0.5,190.4,54.4,39.7,90,12.41,57.9,13.28,3.92,13.63,2.01,11.03,1.96,5.3,0.73,4.11,0.59,0.04,0.02,0.4,729.2,1.5,83,0.6,0.9,<0.1,<0.1,<0.1,0.3,<0.5,<0.01,<0.1,
SB15,Silver Bay,BRD,Rock,0.78,48.08,18.64,11.57,4.02,9.53,2.93,0.6,1.64,0.24,0.17,0.004,41,19,2.3,99.77,222,<1,39.7,0.2,23.3,5.2,13.3,16.4,<1,340.8,0.9,2,0.5,169,<0.5,194.8,33.6,22.5,48.7,6.26,28.4,6.07,1.93,6.9,1.06,6.5,1.31,3.8,0.53,3.3,0.51,0.02,<0.02,0.4,138.7,1.2,50,31.4,<0.5,<0.1,<0.1,<0.1,<0.1,2.6,<0.01,<0.1,
SB16,Silver Bay,BRD,Rock,1.02,47.68,18.54,11.49,4.27,10.26,2.77,0.46,1.67,0.18,0.17,0.008,53,23,2.3,99.76,184,<1,41.7,0.2,21.9,3.6,10.7,10.2,<1,325.9,0.6,1.3,0.2,203,<0.5,124.7,24.4,15.9,33.1,4.43,19.9,4.89,1.62,4.99,0.84,4.97,1.01,2.59,0.4,2.41,0.39,0.02,<0.02,0.4,119.4,1,49,35.8,0.9,<0.1,<0.1,<0.1,<0.1,3.6,0.01,<0.1,
SB17,Silver Bay,BRD,Rock,1.02,46.01,12.82,18.87,3.06,8.31,3.01,0.92,3.37,1.46,0.24,<0.002,<20,33,1.6,99.7,361,1,45.8,0.3,26,4.9,17.8,25,2,307.3,0.9,3.1,0.6,24,1.1,181.1,59.6,43.2,95.3,13.21,59.4,13.99,3.77,14.1,2.09,11.88,2.18,5.73,0.76,4.39,0.67,<0.02,0.02,0.7,669.9,5.9,101,0.4,1.9,0.2,<0.1,<0.1,0.2,0.9,<0.01,<0.1,
