Sample,CAT SUM,Si,Al,Na,Ca,Cr,Fe,Mg,K,Ti,Mn,Total,Mg#,Location
SBI15-CPX-2,2.27,2,0.06,0.02,0.71,0,0.46,0.67,0,0.02,0.01,3.96,59.3,South BBC
SBI15-CPX-3,2.25,2.01,0.06,0,0.74,0,0.43,0.67,0,0.02,0,3.94,60.7,South BBC
SBI15-CPX-4,2.26,1.99,0.07,0.02,0.75,0,0.41,0.69,0,0.03,0,3.96,62.5,South BBC
SBI15-CPX-5,2.27,1.99,0.06,0.02,0.63,0,0.5,0.73,0,0.02,0.01,3.97,59.6,South BBC
SBI15-CPX-6,2.26,1.98,0.06,0.02,0.68,0,0.46,0.75,0,0.02,0,3.98,61.9,South BBC
SBI15-CPX-7,2.25,1.98,0.08,0.02,0.72,0,0.4,0.74,0,0.03,0.01,3.97,65,South BBC
Average,2.26,2,0.06,0.02,0.7,0,0.45,0.71,0,0.02,0,3.96,61.1,South BBC
SBI16-CPX-1,2.25,1.97,0.07,0.02,0.74,0,0.4,0.74,0,0.02,0.01,3.98,65.2,South BBC
SBI16-CPX-2,2.26,2,0.06,0.01,0.73,0,0.43,0.69,0,0.02,0.01,3.96,61.9,South BBC
SBI16-CPX-3,2.25,2,0.06,0.01,0.72,0,0.42,0.7,0,0.02,0.01,3.95,62.5,South BBC
SBI16-CPX-4,2.26,2.01,0.05,0.02,0.71,0,0.43,0.7,0,0.02,0.01,3.96,61.7,South BBC
SBI16-CPX-5,2.25,1.99,0.06,0,0.66,0,0.44,0.77,0,0.03,0.01,3.96,63.4,South BBC
SBI16-CPX-6,2.26,2,0.05,0.01,0.71,0,0.44,0.7,0,0.02,0.01,3.96,61.7,South BBC
Average,2.26,1.99,0.06,0.01,0.71,0,0.43,0.72,0,0.02,0.01,3.96,62.7,South BBC
B364-CPX-1,2.27,1.93,0.07,0.03,0.81,0,0.24,0.91,0,0.02,0.01,4.03,78.8,South BBC
B364-CPX-2,2.29,1.9,0.1,0.02,0.82,0.01,0.23,0.92,0,0.03,0.01,4.03,80,South BBC
B364-CPX-3,2.24,1.94,0.08,0.02,0.79,0.01,0.22,0.93,0,0.02,0,4.01,81.2,South BBC
B364-CPX-4,2.29,1.89,0.11,0.02,0.77,0,0.25,0.92,0,0.04,0.01,4.03,78.3,South BBC
B364-CPX-5,2.28,1.89,0.1,0.02,0.74,0,0.28,0.94,0,0.04,0.01,4.03,76.9,South BBC
Average,2.27,1.91,0.09,0.02,0.79,0.01,0.25,0.92,0,0.03,0.01,4.02,79,South BBC
D126-CPX-1,2.23,1.91,0.12,0.03,0.76,0.01,0.24,0.92,0,0.03,0.01,4.02,79.1,South BBC
