Sample,CAT SUM,Si,Al,Na,Ca,Cr,Fe,Mg,K,Ti,Mn,Total,Mg#,Location
G550B-CPX-8,2.25,1.93,0.11,0.02,0.78,0,0.35,0.77,0,0.03,0.01,3.99,68.9,North BBC
G550B-CPX-9,2.24,1.95,0.07,0.02,0.74,0,0.33,0.84,0,0.03,0.01,3.99,71.7,North BBC
G550B-CPX-10,2.26,1.92,0.1,0.02,0.77,0,0.34,0.81,0,0.04,0.01,4.01,70.6,North BBC
G550B-CPX-11,2.23,1.94,0.09,0.02,0.76,0,0.35,0.79,0,0.03,0.01,3.99,69.3,North BBC
Average,2.25,1.94,0.09,0.02,0.74,0,0.36,0.8,0,0.03,0.01,3.99,68.8,North BBC
G500C-CPX-1,2.36,1.98,0.05,0.01,0.74,0,0.72,0.45,0,0.02,0.02,3.99,38.3,North BBC
G500C-CPX-2,2.35,1.97,0.05,0.01,0.71,0,0.7,0.51,0,0.02,0.02,3.99,42.4,North BBC
G500C-CPX-3,2.32,1.99,0.04,0.01,0.74,0,0.7,0.45,0,0.02,0.02,3.97,39.2,North BBC
G500C-CPX-4,2.4,1.96,0.06,0.01,0.72,0,0.77,0.45,0,0.02,0.02,4,37.1,North BBC
G500C-CPX-5,2.35,1.96,0.06,0.01,0.67,0,0.7,0.55,0,0.02,0.02,4,43.8,North BBC
G500C-CPX-6,2.34,1.98,0.04,0.02,0.73,0,0.73,0.45,0,0.02,0.02,3.98,38.1,North BBC
G500C-CPX-7,2.35,1.97,0.04,0.01,0.75,0,0.71,0.47,0,0.02,0.02,3.99,39.6,North BBC
G500C-CPX-8,2.34,1.98,0.05,0.01,0.72,0,0.72,0.47,0,0.02,0.02,3.99,39.4,North BBC
Average,2.35,1.97,0.05,0.01,0.72,0,0.72,0.47,0,0.02,0.02,3.99,39.7,North BBC
H514-CPX-1,2.24,1.94,0.1,0.02,0.75,0,0.39,0.75,0,0.03,0.01,3.99,65.6,North BBC
H514-CPX-2,2.26,1.93,0.1,0.02,0.75,0,0.38,0.76,0,0.03,0.01,4,66.7,North BBC
H514-CPX-3,2.26,1.93,0.1,0.02,0.74,0,0.38,0.77,0,0.03,0.01,4,66.8,North BBC
H514-CPX-4,2.23,1.95,0.08,0.02,0.75,0,0.37,0.79,0,0.03,0.01,3.99,68.3,North BBC
H514-CPX-5,2.27,1.93,0.09,0.02,0.74,0,0.42,0.76,0,0.03,0.01,4,64.4,North BBC
H514-CPX-6,2.25,1.96,0.07,0.02,0.73,0,0.4,0.77,0,0.03,0.01,3.99,65.9,North BBC
H514-CPX-7,2.3,1.96,0.06,0.01,0.68,0,0.55,0.7,0,0.02,0.01,4,55.9,North BBC
H514-CPX-8,2.28,2,0.03,0.01,0.83,0,0.48,0.63,0,0,0.01,3.99,56.5,North BBC
H514-CPX-9,2.3,1.97,0.06,0.01,0.69,0,0.51,0.71,0,0.02,0.01,3.99,58,North BBC
H514-CPX-10,2.27,1.97,0.06,0.02,0.67,0,0.51,0.73,0,0.02,0.01,3.99,59,North BBC
Average,2.27,1.95,0.07,0.02,0.73,0,0.44,0.74,0,0.03,0.01,3.99,62.7,North BBC
H515-CPX-1,2.29,1.95,0.06,0.02,0.69,0,0.54,0.7,0,0.02,0.01,4,56.4,North BBC
H515-CPX-2,2.25,1.95,0.07,0.02,0.71,0,0.43,0.77,0,0.03,0.01,3.99,64.2,North BBC
H515-CPX-3,2.25,1.96,0.07,0.02,0.72,0,0.42,0.76,0,0.03,0.01,3.99,64.2,North BBC
H515-CPX-4,2.28,1.95,0.06,0.01,0.69,0,0.51,0.73,0,0.03,0.01,4,58.8,North BBC
H515-CPX-5,2.28,1.97,0.06,0.01,0.66,0,0.56,0.69,0,0.02,0.01,3.99,55.3,North BBC
H515-CPX-6,2.34,1.97,0.05,0.01,0.66,0,0.65,0.61,0,0.02,0.02,3.99,48.6,North BBC
H515-CPX-7,2.24,1.96,0.07,0.01,0.68,0,0.47,0.75,0,0.03,0.01,3.99,61.4,North BBC
H515-CPX-8,2.27,1.95,0.06,0.01,0.69,0,0.5,0.73,0,0.03,0.01,4,59.3,North BBC
H515-CPX-9,2.3,1.97,0.06,0.01,0.69,0,0.58,0.65,0,0.02,0.01,3.99,53,North BBC
Average,2.28,1.96,0.06,0.01,0.69,0,0.52,0.71,0,0.02,0.01,3.99,57.9,North BBC
G549-CPX-1,2.25,1.95,0.07,0.02,0.7,0,0.46,0.74,0,0.03,0.01,3.99,61.4,North BBC
G549-CPX-2,2.26,1.95,0.08,0.02,0.71,0,0.44,0.75,0,0.03,0.01,3.99,63.2,North BBC
G549-CPX-3,2.27,1.96,0.07,0.01,0.69,0,0.46,0.75,0,0.03,0.01,3.99,61.7,North BBC
G549-CPX-4,2.27,1.95,0.07,0.01,0.71,0,0.49,0.73,0,0.02,0.01,4,59.6,North BBC
G549-CPX-5,2.34,1.97,0.05,0.01,0.61,0,0.72,0.6,0,0.02,0.02,3.99,45.6,North BBC
G549-CPX-6,2.3,1.95,0.06,0.01,0.68,0,0.55,0.71,0,0.02,0.01,4,56.2,North BBC
G549-CPX-7,2.25,1.94,0.1,0.02,0.73,0,0.42,0.75,0,0.03,0.01,3.99,64.1,North BBC
G549-CPX-8,2.26,1.96,0.07,0.02,0.69,0,0.45,0.78,0,0.02,0.01,3.99,63.6,North BBC
G549-CPX-9,2.25,1.96,0.07,0.01,0.72,0,0.43,0.77,0,0.03,0.01,3.99,64.2,North BBC
G549-CPX-10,2.26,1.95,0.08,0.02,0.7,0,0.44,0.76,0,0.03,0.01,3.99,63.4,North BBC
G549-CPX-11,2.28,1.96,0.06,0.01,0.67,0,0.54,0.71,0,0.02,0.01,3.99,56.6,North BBC
G549-CPX-12,2.27,1.95,0.08,0.02,0.71,0,0.44,0.76,0,0.03,0.01,4,63.2,North BBC
Average,2.27,1.95,0.07,0.01,0.69,0,0.49,0.73,0,0.03,0.01,3.99,60.2,North BBC
G528-CPX-1,2.27,1.96,0.07,0.01,0.69,0,0.48,0.75,0,0.02,0.01,3.99,60.9,North BBC
G528-CPX-2,2.24,1.96,0.08,0.02,0.71,0,0.4,0.77,0,0.03,0.01,3.98,65.9,North BBC
G528-CPX-3,2.27,1.96,0.07,0.01,0.69,0,0.47,0.74,0,0.03,0.01,3.99,60.9,North BBC
G528-CPX-4,2.27,1.95,0.08,0.01,0.72,0,0.44,0.76,0,0.03,0.01,4,63.2,North BBC
G528-CPX-5,2.3,1.96,0.07,0.01,0.7,0,0.54,0.69,0,0.02,0.01,3.99,56.2,North BBC
G528-CPX-6,2.26,1.95,0.07,0.01,0.69,0,0.46,0.76,0,0.03,0.01,3.99,62.2,North BBC
G528-CPX-7,2.29,1.96,0.07,0.02,0.69,0,0.49,0.73,0,0.03,0.01,3.99,59.9,North BBC
G528-CPX-8,2.31,1.96,0.06,0.01,0.69,0,0.55,0.69,0,0.02,0.01,3.99,55.6,North BBC
G528-CPX-9,2.27,1.96,0.07,0.02,0.72,0,0.45,0.75,0,0.02,0.01,3.99,62.7,North BBC
G528-CPX-10,2.27,1.95,0.07,0.02,0.7,0,0.48,0.75,0,0.03,0.01,4,61.1,North BBC
G528-CPX-11,2.25,1.97,0.07,0.01,0.7,0,0.44,0.75,0,0.03,0.01,3.98,63.4,North BBC
Average,2.27,1.96,0.07,0.01,0.7,0,0.47,0.74,0,0.02,0.01,3.99,61.1,North BBC
G527-CPX-1,2.29,1.97,0.05,0.01,0.68,0,0.6,0.65,0,0.02,0.01,3.99,52.1,North BBC
G527-CPX-2,2.27,1.95,0.07,0.01,0.72,0,0.47,0.74,0,0.03,0.01,3.99,61.4,North BBC
G527-CPX-3,2.31,1.97,0.06,0.01,0.68,0,0.6,0.64,0,0.02,0.01,3.99,51.6,North BBC
G527-CPX-4,2.24,1.96,0.07,0.02,0.71,0,0.43,0.77,0,0.03,0.01,3.99,64.2,North BBC
G527-CPX-5,2.26,1.95,0.08,0.02,0.7,0,0.44,0.76,0,0.03,0.01,3.99,63.2,North BBC
G527-CPX-6,2.27,1.96,0.07,0.01,0.68,0,0.49,0.73,0,0.02,0.01,3.98,59.9,North BBC
G527-CPX-7,2.27,1.96,0.07,0.01,0.69,0,0.47,0.74,0,0.03,0.01,3.98,61.4,North BBC
G527-CPX-8,2.26,1.96,0.07,0.02,0.7,0,0.44,0.76,0,0.03,0.01,3.98,63.4,North BBC
G527-CPX-9,2.27,1.95,0.08,0.01,0.71,0,0.45,0.75,0,0.03,0.01,3.99,62.7,North BBC
G527-CPX-10,2.3,1.95,0.07,0.01,0.65,0,0.55,0.73,0,0.02,0.02,4,57,North BBC
G527-CPX-11,2.32,1.95,0.07,0.01,0.7,0,0.58,0.64,0,0.02,0.01,4,52.6,North BBC
Average,2.28,1.96,0.07,0.01,0.69,0,0.5,0.72,0,0.02,0.01,3.99,59,North BBC
G536-CPX-1,2.3,1.96,0.07,0.01,0.68,0,0.55,0.68,0,0.02,0.01,3.99,55.4,North BBC
G536-CPX-2,2.28,1.98,0.06,0.01,0.68,0,0.53,0.68,0,0.02,0.01,3.98,56.1,North BBC
G536-CPX-3,2.29,1.96,0.06,0.02,0.7,0,0.54,0.69,0,0.02,0.01,4,56.4,North BBC
G536-CPX-4,2.28,1.97,0.06,0.02,0.67,0,0.53,0.71,0,0.02,0.01,3.99,57.3,North BBC
G536-CPX-5,2.28,1.97,0.06,0.02,0.66,0,0.55,0.71,0,0.02,0.01,3.99,56.5,North BBC
G536-CPX-6,2.29,1.97,0.06,0.02,0.67,0,0.54,0.68,0,0.02,0.01,3.98,55.6,North BBC
G536-CPX-7,2.3,1.96,0.06,0.01,0.67,0,0.56,0.7,0,0.02,0.01,4,55.5,North BBC
G536-CPX-8,2.28,1.97,0.06,0.02,0.69,0,0.54,0.68,0,0.02,0.01,3.99,55.9,North BBC
G536-CPX-9,2.31,1.96,0.06,0.02,0.68,0,0.55,0.71,0,0.02,0.01,4,56.3,North BBC
G536-CPX-10,2.29,1.96,0.06,0.01,0.69,0,0.54,0.69,0,0.02,0.01,3.99,55.9,North BBC
G536-CPX-11,2.28,1.97,0.06,0.02,0.68,0,0.52,0.71,0,0.02,0.01,3.99,57.6,North BBC
Average,2.29,1.97,0.06,0.02,0.68,0,0.54,0.69,0,0.02,0.01,3.99,56.2,North BBC
KP1-CPX-1,2.22,1.97,0.08,0.02,0.73,0,0.3,0.83,0,0.03,0,3.96,73.8,Keweenaw
KP1-CPX-2,2.22,1.98,0.06,0.03,0.68,0,0.3,0.88,0,0.03,0.01,3.98,74.2,Keweenaw
KP1-CPX-3,2.22,2.02,0.03,0,0.08,0,0.65,1.15,0,0.01,0.02,3.95,63.9,Keweenaw
KP1-CPX-4,2.22,2.01,0.05,0,0.61,0,0.37,0.88,0,0.02,0,3.94,70,Keweenaw
KP1-CPX-5,2.23,1.98,0.07,0.02,0.67,0,0.37,0.82,0,0.03,0,3.96,69,Keweenaw
KP1-CPX-6,2.2,1.99,0.08,0.02,0.72,0,0.27,0.86,0,0.02,0,3.96,76.4,Keweenaw
KP1-CPX-7,2.2,1.97,0.1,0.02,0.73,0,0.23,0.87,0,0.03,0,3.96,78.9,Keweenaw
KP1-CPX-8,2.21,1.98,0.08,0.02,0.74,0,0.27,0.85,0,0.03,0,3.96,75.7,Keweenaw
KP1-CPX-9,2.23,2,0.05,0.01,0.44,0,0.49,0.94,0,0.02,0.01,3.96,65.5,Keweenaw
KP1-CPX-10,2.22,2.02,0.03,0,0.17,0,0.6,1.11,0,0.01,0.01,3.95,64.8,Keweenaw
KP1-CPX-11,2.21,1.99,0.06,0.03,0.7,0,0.31,0.86,0,0.02,0,3.97,73.4,Keweenaw
KP1-CPX-12,2.22,2,0.05,0,0.15,0,0.6,1.15,0,0.01,0.01,3.96,65.6,Keweenaw
KP1-CPX-13,2.21,1.98,0.08,0.02,0.72,0,0.29,0.84,0,0.03,0.01,3.96,74.5,Keweenaw
Average,2.22,1.99,0.06,0.01,0.55,0,0.39,0.92,0,0.02,0.01,3.96,71.2,Keweenaw
KP5-CPX-1,2.23,1.98,0.08,0.02,0.68,0,0.35,0.84,0,0.02,0.01,3.97,70.6,Keweenaw
KP5-CPX-2,2.22,1.96,0.08,0.03,0.67,0,0.33,0.87,0,0.04,0,3.98,72.6,Keweenaw
KP5-CPX-3,2.22,2.01,0.02,0,0.15,0,0.6,1.17,0,0.01,0.02,3.97,66.2,Keweenaw
KP5-CPX-4,2.21,1.99,0.04,0,0.21,0,0.54,1.15,0,0.02,0.02,3.97,67.8,Keweenaw
KP5-CPX-5,2.22,1.97,0.08,0.02,0.64,0,0.35,0.87,0,0.03,0.01,3.97,71.2,Keweenaw
KP5-CPX-6,2.22,1.97,0.07,0.01,0.63,0,0.36,0.88,0,0.03,0.01,3.97,71.1,Keweenaw
KP5-CPX-7,2.2,1.96,0.1,0.02,0.75,0.01,0.22,0.87,0,0.02,0.01,3.97,79.8,Keweenaw
KP5-CPX-8,2.21,1.96,0.09,0.02,0.74,0,0.26,0.85,0,0.03,0.01,3.97,76.4,Keweenaw
KP5-CPX-9,2.22,2,0.05,0.02,0.62,0,0.36,0.89,0,0.02,0,3.96,71.3,Keweenaw
KP5-CPX-10,2.21,1.97,0.09,0.02,0.71,0,0.27,0.87,0,0.03,0.01,3.97,76.4,Keweenaw
KP5-CPX-11,2.21,1.97,0.08,0.02,0.74,0,0.25,0.87,0,0.03,0.01,3.97,77.6,Keweenaw
KP5-CPX-12,2.21,2.04,0.03,0,0.82,0,0.25,0.8,0,0,0.01,3.95,76.3,Keweenaw
Average,2.21,1.98,0.07,0.02,0.61,0,0.34,0.91,0,0.02,0.01,3.97,73.1,Keweenaw
KP6-CPX-1,2.24,1.95,0.1,0.02,0.7,0,0.35,0.81,0,0.03,0.01,3.98,70,Keweenaw
KP6-CPX-2,2.22,2.01,0.06,0,0.44,0,0.46,0.96,0,0.01,0.01,3.95,67.9,Keweenaw
KP6-CPX-3,2.22,1.97,0.06,0.01,0.62,0,0.34,0.95,0,0.02,0.01,3.99,73.9,Keweenaw
KP6-CPX-4,2.17,1.92,0.08,0,0.83,0.01,0.28,0.9,0,0.01,0,4.03,76.1,Keweenaw
KP6-CPX-5,2.22,1.97,0.09,0.02,0.7,0,0.32,0.83,0,0.03,0,3.96,72.3,Keweenaw
KP6-CPX-6,2.23,1.98,0.06,0,0.68,0,0.35,0.83,0,0.03,0.01,3.95,70,Keweenaw
Average,2.21,1.97,0.07,0.01,0.66,0,0.35,0.88,0,0.02,0.01,3.98,71.7,Keweenaw
KP7A-CPX-1,2.24,1.89,0.09,0.03,0.8,0.01,0.25,0.96,0,0.02,0.01,4.05,79.3,Keweenaw
KP7A-CPX-2,2.23,1.9,0.1,0.02,0.78,0.01,0.26,0.93,0,0.02,0.01,4.04,78.2,Keweenaw
KP7A-CPX-3,2.23,1.91,0.09,0.02,0.76,0,0.27,0.94,0,0.03,0.01,4.03,77.6,Keweenaw
KP7A-CPX-4,2.24,1.9,0.08,0,0.8,0.01,0.28,0.92,0,0.03,0,4.03,76.5,Keweenaw
KP7A-CPX-5,2.3,1.86,0.08,0,0.9,0,0.4,0.78,0,0.03,0.01,4.07,65.7,Keweenaw
KP7A-CPX-6,2.24,1.9,0.08,0,0.8,0.01,0.28,0.92,0,0.03,0,4.03,76.5,Keweenaw
KP7A-CPX-7,2.22,1.91,0.09,0.02,0.76,0.01,0.25,0.95,0,0.02,0.01,4.03,79.1,Keweenaw
KP7A-CPX-8,2.23,1.91,0.09,0.02,0.8,0.01,0.27,0.93,0,0.02,0,4.04,77.5,Keweenaw
KP7A-CPX-9,2.3,1.86,0.08,0,0.9,0,0.4,0.78,0,0.03,0.01,4.07,65.7,Keweenaw
KP7A-CPX-10,2.3,1.86,0.08,0,0.9,0,0.4,0.78,0,0.03,0.01,4.07,65.7,Keweenaw
KP7A-CPX-11,2.27,1.91,0.08,0.03,0.78,0,0.4,0.81,0,0.03,0,4.03,67.1,Keweenaw
KP7A-CPX-12,2.25,1.88,0.1,0.02,0.85,0.02,0.27,0.9,0,0.02,0,4.05,77.2,Keweenaw
KP7A-CPX-13,2.25,1.89,0.08,0.02,0.81,0.01,0.3,0.9,0,0.02,0.01,4.06,74.9,Keweenaw
KP7A-CPX-14,2.23,1.9,0.09,0.02,0.79,0.01,0.27,0.94,0,0.02,0,4.04,77.6,Keweenaw
KP7A-CPX-15,2.23,1.92,0.09,0.02,0.76,0.01,0.27,0.94,0,0.02,0,4.03,77.4,Keweenaw
Average,2.25,1.89,0.09,0.02,0.81,0.01,0.31,0.89,0,0.02,0.01,4.04,74.4,Keweenaw
KP7B-CPX-1,2.28,1.92,0.06,0.02,0.73,0,0.45,0.82,0,0.03,0.01,4.04,64.7,Keweenaw
KP7B-CPX-2,2.29,1.92,0.06,0.02,0.73,0,0.5,0.77,0,0.03,0,4.03,60.6,Keweenaw
KP7B-CPX-3,2.3,1.91,0.06,0.03,0.73,0,0.48,0.79,0,0.03,0.01,4.05,62,Keweenaw
KP7B-CPX-4,2.31,1.9,0.07,0.02,0.8,0,0.49,0.72,0,0.03,0.01,4.05,59.5,Keweenaw
KP7B-CPX-5,2.28,1.92,0.06,0.02,0.73,0,0.45,0.82,0,0.03,0.01,4.04,64.7,Keweenaw
KP7B-CPX-6,2.3,1.91,0.06,0.03,0.73,0,0.48,0.79,0,0.03,0.01,4.05,62,Keweenaw
KP7B-CPX-7,2.29,1.91,0.06,0.02,0.72,0,0.47,0.83,0,0.03,0,4.04,63.8,Keweenaw
KP7B-CPX-8,2.3,1.92,0.07,0.03,0.74,0,0.49,0.74,0.01,0.02,0.01,4.04,60.4,Keweenaw
KP7B-CPX-9,2.3,1.85,0.14,0.02,0.71,0,0.49,0.82,0,0.03,0.01,4.07,62.3,Keweenaw
KP7B-CPX-10,2.29,1.91,0.06,0.02,0.75,0,0.47,0.81,0,0.02,0,4.05,63.4,Keweenaw
KP7B-CPX-11,2.32,1.93,0.04,0.02,0.72,0,0.57,0.72,0,0.02,0.02,4.04,55.7,Keweenaw
KP7B-CPX-12,2.31,1.93,0.04,0.02,0.67,0,0.56,0.77,0,0.02,0.02,4.04,57.8,Keweenaw
Average,2.3,1.91,0.07,0.02,0.73,0,0.49,0.78,0,0.03,0.01,4.04,61.4,Keweenaw
KP10-CPX-1,2.25,1.99,0.05,0.02,0.7,0,0.42,0.75,0,0.02,0.01,3.97,64.3,Keweenaw
KP10-CPX-3,2.23,1.96,0.09,0.02,0.75,0,0.31,0.79,0,0.03,0.01,3.97,71.8,Keweenaw
KP10-CPX-4,2.25,1.99,0.06,0.01,0.71,0,0.41,0.74,0,0.02,0.01,3.96,64.3,Keweenaw
KP10-CPX-5,2.25,1.99,0.06,0.02,0.7,0,0.4,0.75,0,0.03,0.01,3.96,65.2,Keweenaw
KP10-CPX-6,2.36,1.54,0.62,0,0.05,0,0.96,0.97,0,0,0.01,4.15,50.3,Keweenaw
KP10-CPX-8,2.25,2,0.06,0.02,0.7,0,0.41,0.74,0,0.02,0.01,3.96,64.2,Keweenaw
KP10-CPX-9,2.33,1.6,0.59,0,0.07,0,0.9,0.93,0.01,0,0.01,4.11,51,Keweenaw
KP10-CPX-10,2.26,2,0.05,0.02,0.7,0,0.43,0.73,0,0.02,0.02,3.96,63.1,Keweenaw
KP10-CPX-11,2.24,1.98,0.08,0.02,0.75,0,0.34,0.77,0,0.03,0.01,3.97,69.4,Keweenaw
KP10-CPX-12,2.24,1.99,0.07,0.02,0.75,0,0.35,0.75,0,0.03,0,3.96,68,Keweenaw
Average,2.26,1.9,0.17,0.02,0.59,0,0.49,0.79,0,0.02,0.01,4,63.2,Keweenaw
KP11A-CPX-1,2.26,2,0.05,0.02,0.71,0,0.45,0.71,0,0.02,0.01,3.97,61.3,Keweenaw
KP11A-CPX-2,2.28,2,0.05,0.02,0.68,0,0.53,0.64,0,0.02,0.01,3.96,54.9,Keweenaw
KP11A-CPX-3,2.26,2.01,0.04,0.02,0.7,0,0.46,0.69,0,0.03,0,3.95,60.1,Keweenaw
KP11A-CPX-4,2.3,2.02,0.03,0.02,0.68,0,0.57,0.61,0,0.01,0.02,3.96,51.6,Keweenaw
KP11A-CPX-5,2.25,1.99,0.05,0.02,0.72,0,0.41,0.72,0,0.03,0.01,3.96,63.6,Keweenaw
KP11A-CPX-6,2.28,2,0.05,0.02,0.7,0,0.5,0.67,0,0.02,0.01,3.97,57.4,Keweenaw
KP11A-CPX-7,2.31,1.93,0.04,0.02,0.67,0,0.56,0.77,0,0.02,0.02,4.04,57.8,Keweenaw
KP11A-CPX-8,2.26,2,0.14,0,0.73,0,0.45,0.58,0,0,0.04,3.93,56.3,Keweenaw
KP11A-CPX-9,2.32,1.93,0.04,0.02,0.72,0,0.57,0.72,0,0.02,0.02,4.04,55.7,Keweenaw
KP11A-CPX-10,2.31,1.94,0.08,0.03,0.84,0.01,0.52,0.55,0,0.02,0.01,4,51.3,Keweenaw
KP11A-CPX-11,2.28,2,0.05,0.02,0.69,0,0.52,0.65,0,0.03,0.01,3.96,55.6,Keweenaw
KP11A-CPX-12,2.3,2.01,0.03,0.02,0.71,0,0.56,0.59,0,0.03,0.01,3.96,51,Keweenaw
Average,2.28,1.99,0.05,0.02,0.71,0,0.51,0.66,0,0.02,0.01,3.98,56.4,Keweenaw
KP12-CPX-1,2.41,1.95,0.03,0.03,0.78,0,0.84,0.36,0,0.02,0.03,4.03,29.9,Keweenaw
KP12-CPX-2,2.4,1.96,0.02,0.02,0.79,0,0.79,0.39,0,0.02,0.02,4.02,33.2,Keweenaw
KP12-CPX-3,2.36,1.95,0.04,0.02,0.72,0,0.69,0.57,0,0.02,0.02,4.03,45,Keweenaw
KP12-CPX-4,2.4,1.95,0.03,0.02,0.77,0,0.79,0.42,0,0.02,0.02,4.03,34.9,Keweenaw
KP12-CPX-5,2.37,1.94,0.03,0.02,0.77,0,0.72,0.5,0,0.03,0.02,4.03,41,Keweenaw
KP12-CPX-6,2.36,1.94,0.04,0.02,0.76,0,0.7,0.54,0,0.02,0.02,4.03,43.3,Keweenaw
KP12-CPX-7,2.34,1.93,0.04,0.02,0.76,0,0.62,0.63,0,0.02,0.02,4.04,50.1,Keweenaw
KP12-CPX-8,2.35,1.93,0.05,0,0.72,0,0.66,0.62,0,0.02,0.01,4.03,48.5,Keweenaw
KP12-CPX-9,2.33,1.9,0.09,0.02,0.75,0,0.59,0.65,0,0.03,0.02,4.04,52.4,Keweenaw
KP12-CPX-10,2.33,1.92,0.05,0.02,0.73,0,0.61,0.67,0,0.02,0.01,4.04,52.3,Keweenaw
KP12-CPX-11,2.36,1.94,0.04,0.02,0.72,0,0.69,0.58,0,0.03,0.02,4.03,45.5,Keweenaw
KP12-CPX-12,2.42,1.96,0.02,0.03,0.75,0,0.88,0.37,0,0.01,0.03,4.04,29.4,Keweenaw
KP12-CPX-13,2.41,1.95,0.03,0.03,0.78,0,0.84,0.36,0,0.02,0.02,4.03,29.8,Keweenaw
KP12-CPX-14,2.32,1.91,0.05,0.02,0.74,0,0.55,0.73,0,0.03,0.02,4.04,57.3,Keweenaw
KP12-CPX-15,2.35,1.91,0.07,0.04,0.72,0,0.64,0.61,0,0.03,0.02,4.04,48.7,Keweenaw
Average,2.37,1.94,0.04,0.02,0.75,0,0.71,0.53,0,0.02,0.02,4.03,42.7,Keweenaw
KP14A-CPX-1,2.36,1.93,0.03,0.03,0.73,0,0.69,0.61,0,0.02,0.01,4.05,46.9,Keweenaw
KP14A-CPX-2,2.35,1.93,0.04,0.02,0.71,0,0.67,0.62,0,0.02,0.02,4.03,48,Keweenaw
KP14A-CPX-3,2.35,1.94,0.04,0.03,0.71,0,0.68,0.6,0,0.02,0.02,4.03,46.6,Keweenaw
KP14A-CPX-4,2.34,1.94,0.04,0.02,0.71,0,0.66,0.61,0,0.03,0.01,4.02,48.3,Keweenaw
KP14A-CPX-6,2.34,1.93,0.05,0.02,0.69,0,0.66,0.64,0,0.03,0.02,4.03,49.1,Keweenaw
KP14A-CPX-8,2.35,1.93,0.05,0.03,0.73,0,0.66,0.6,0,0.02,0.02,4.04,47.5,Keweenaw
KP14A-CPX-9,2.35,1.93,0.03,0.02,0.71,0,0.66,0.63,0,0.03,0.02,4.04,48.8,Keweenaw
KP14A-CPX-11,2.35,1.93,0.04,0.03,0.72,0,0.68,0.6,0,0.02,0.02,4.04,46.7,Keweenaw
KP14A-CPX-12,2.35,1.95,0.03,0.02,0.71,0,0.67,0.61,0,0.02,0.02,4.03,47.9,Keweenaw
KP14A-CPX-13,2.35,1.95,0.04,0.02,0.71,0,0.67,0.6,0,0.02,0.02,4.02,47.3,Keweenaw
Average,2.35,1.94,0.04,0.02,0.71,0,0.67,0.61,0,0.02,0.02,4.03,47.7,Keweenaw
KP14B-CPX-1,2.24,1.97,0.08,0.02,0.74,0,0.35,0.76,0,0.04,0.01,3.96,68.5,Keweenaw
KP14B-CPX-2,2.23,1.99,0.06,0.02,0.74,0,0.33,0.79,0,0.03,0,3.97,70.3,Keweenaw
KP14B-CPX-3,2.23,1.98,0.08,0.02,0.74,0,0.35,0.76,0,0.03,0,3.96,68.5,Keweenaw
KP14B-CPX-4,2.25,2,0.06,0.03,0.71,0,0.42,0.71,0,0.02,0.01,3.96,63,Keweenaw
KP14B-CPX-5,2.24,1.96,0.09,0.02,0.73,0,0.36,0.77,0,0.03,0.01,3.97,68.4,Keweenaw
KP14B-CPX-6,2.25,1.99,0.06,0.03,0.72,0,0.39,0.75,0,0.03,0.01,3.97,66,Keweenaw
KP14B-CPX-7,2.25,1.97,0.07,0.02,0.73,0,0.39,0.74,0,0.04,0.01,3.97,65.7,Keweenaw
KP14B-CPX-8,2.23,1.97,0.08,0.02,0.74,0,0.33,0.79,0,0.03,0,3.96,70.9,Keweenaw
KP14B-CPX-9,2.23,1.95,0.1,0.03,0.76,0.01,0.3,0.79,0,0.03,0.01,3.97,72.6,Keweenaw
Average,2.24,1.98,0.08,0.02,0.73,0,0.36,0.76,0,0.03,0.01,3.96,68.2,Keweenaw
KP15-CPX-1,2.22,1.97,0.08,0.02,0.7,0,0.31,0.86,0,0.03,0.01,3.97,73.8,Keweenaw
KP15-CPX-2,2.21,1.99,0.06,0.01,0.71,0,0.27,0.9,0,0.02,0.01,3.97,76.9,Keweenaw
KP15-CPX-3,2.25,2.03,0,0,0.16,0,0.69,1.06,0,0.01,0.02,3.96,60.8,Keweenaw
KP15-CPX-4,2.25,2.03,0.01,0,0.1,0,0.71,1.06,0,0.01,0.02,3.95,59.9,Keweenaw
KP15-CPX-5,2.2,1.96,0.11,0.02,0.73,0.02,0.23,0.87,0,0.03,0.01,3.97,78.9,Keweenaw
KP15-CPX-6,2.24,2.03,0.02,0,0.1,0,0.71,1.09,0,0,0.01,3.96,60.7,Keweenaw
KP15-CPX-7,2.21,1.99,0.06,0.02,0.7,0,0.28,0.88,0,0.02,0.01,3.96,75.8,Keweenaw
KP15-CPX-8,2.25,2.02,0.01,0,0.1,0,0.72,1.08,0,0.01,0.02,3.96,59.9,Keweenaw
KP15-CPX-9,2.23,2,0.05,0.02,0.58,0,0.4,0.88,0,0.02,0.02,3.96,69,Keweenaw
KP15-CPX-10,2.24,2,0.03,0,0.21,0,0.62,1.07,0,0.02,0.02,3.97,63.4,Keweenaw
KP15-CPX-11,2.2,1.98,0.09,0.02,0.74,0,0.24,0.86,0,0.02,0,3.96,78.4,Keweenaw
KP15-CPX-12,2.24,1.98,0.07,0.02,0.61,0,0.41,0.84,0,0.03,0.01,3.97,67.3,Keweenaw
Average,2.23,2,0.05,0.01,0.45,0,0.46,0.96,0,0.02,0.01,3.96,68.7,Keweenaw
KP101-CPX-1,2.24,1.99,0.07,0.02,0.65,0,0.4,0.79,0,0.03,0.01,3.96,66.4,Keweenaw
