Sample,Na2O,CaO,Al2O3,Cr2O3,FeO,MgO,K2O,SiO2,TiO2,MnO,Total,Location
C403A-CPX-1,0.43,20.7,2.27,0.03,10.1,14,0.05,49.7,0.76,0.51,98.6,SBBC
C403A-CPX-2,0.36,20.6,2.27,0.05,10.4,13.8,0.03,50.3,0.77,0.48,99.1,SBBC
C403A-CPX-3,0.4,20.8,2.31,0.01,10.3,14.1,0.04,49.8,0.77,0.45,99,SBBC
C403A-CPX-4,0.38,20,2.1,0.1,10.6,13.8,0.04,49.1,0.74,0.55,97.4,SBBC
Average,0.39,20.53,2.24,0.05,10.35,13.93,0.04,49.73,0.76,0.5,98.5,SBBC
B309A-CPX-1,0.45,20.4,3.4,0.05,11.7,12.6,0.06,48.4,0.97,0.5,98.5,SBBC
B309A-CPX-2,0.37,21,1.96,0,10.5,14.1,0.04,51,0.55,0.42,99.9,SBBC
B309A-CPX-3,0.41,20.1,2.92,0,11.4,12.6,0.04,48.8,0.76,0.47,97.5,SBBC
Average,0.41,20.5,2.76,0.02,11.2,13.1,0.05,49.4,0.76,0.46,98.7,SBBC
C414-CPX-1,0.21,17.4,0.94,0.08,20.4,9.2,0.05,49,0.58,0.58,98.4,SBBC
C414-CPX-2,0.23,18,1.71,0,13,13.9,0.04,50.4,0.91,0.35,98.5,SBBC
C414-CPX-3,0.29,18.6,2.13,0.05,12.3,13.2,0.06,49.6,0.88,0.33,97.4,SBBC
C414-CPX-4,0.22,17.6,1.37,0.06,16,12.3,0.04,49.9,0.78,0.41,98.7,SBBC
C414-CPX-5,0.27,18.3,2.15,0.06,13.1,12.8,0.07,49.4,0.84,0.32,97.3,SBBC
C414-CPX-6,0.3,18.4,2.45,0.09,12,13.4,0.05,49.2,1.07,0.27,97.2,SBBC
Average,0.25,18.05,1.79,0.06,14.47,12.47,0.05,49.58,0.84,0.38,97.9,SBBC
BBC1-CPX-1,0.23,18.72,0.83,0,13.53,11.98,0,53.79,0.5,0.42,100,NBBC
BBC1-CPX-2,0.23,18.01,1.02,0,16.76,10.03,0,52.89,0.58,0.48,100,NBBC
BBC1-CPX-3,0.28,17.65,1.2,0,14.24,12.29,0,53.23,0.69,0.4,100,NBBC
BBC1-CPX-4,0.2,14.77,1.29,0,15.52,13.71,0,53.12,0.96,0.45,100,NBBC
BBC1-CPX-5,0.32,18.42,1.28,0,13.57,12.37,0,52.89,0.72,0.45,100,NBBC
BBC1-CPX-6,0.24,18.88,1.33,0,12.66,12.57,0,52.96,0.9,0.45,100,NBBC
BBC1-CPX-7,0.29,18.33,1.12,0,15.6,10.72,0,52.86,0.71,0.38,100,NBBC
BBC1-CPX-8,0.28,18.51,1.29,0,15.02,10.65,0,53.08,0.81,0.36,100,NBBC
BBC1-CPX-9,0.22,14.2,1.27,0,15.06,14.84,0,53.18,0.8,0.43,100,NBBC
Average,0.25,17.5,1.18,0,14.66,12.13,0,53.11,0.74,0.42,100,NBBC
BBC2-CPX-1,0.31,17.27,1.93,0,11.94,14.47,0,53.12,0.96,0,100,NBBC
BBC2-CPX-2,0.31,17.52,1.63,0,12.08,13.85,0,53.34,0.98,0.29,100,NBBC
BBC2-CPX-3,0,19.31,0.58,0,13.94,11.78,0,53.85,0,0.53,100,NBBC
BBC2-CPX-4,0.21,18.79,1.11,0,14.29,11.62,0,52.94,0.75,0.29,100,NBBC
BBC2-CPX-5,0.19,19.88,0.72,0,15.65,9.56,0,53.45,0,0.55,100,NBBC
BBC2-CPX-6,0.27,18.37,2.14,0,10.81,13.85,0,53.45,1.11,0,100,NBBC
BBC2-CPX-7,0.21,16.69,1.51,0,13.22,13.71,0,53.37,0.87,0.43,100,NBBC
BBC2-CPX-8,0.29,18.71,1.46,0,12.89,12.47,0,52.82,0.96,0.39,100,NBBC
BBC2-CPX-9,0.23,18.18,1.35,0,13.5,12.12,0,53.41,0.85,0.34,100,NBBC
BBC2-CPX-10,0.43,18.98,1.61,0,10.37,13.88,0,53.47,0.96,0.29,100,NBBC
BBC2-CPX-11,0.24,18.84,1.65,0,12.3,12.58,0,53.05,0.92,0.41,100,NBBC
BBC2-CPX-12,0.29,18.62,1.22,0,14.29,11.81,0,52.73,0.72,0.33,100,NBBC
Average,0.25,18.43,1.41,0,12.94,12.64,0,53.25,0.76,0.32,100,NBBC
BBC3-CPX-1,0.24,18.92,1.01,0,14.64,11.21,0,53.12,0.86,0,100,NBBC
BBC3-CPX-2,0.24,18.77,1.17,0,13.76,12.05,0,52.98,0.65,0.38,100,NBBC
BBC3-CPX-3,0.27,17.05,1.57,0,12.15,14.34,0,53.4,0.81,0.39,100,NBBC
BBC3-CPX-4,0.26,15.29,0.87,0,17.12,12.46,0,52.91,0.72,0.37,100,NBBC
BBC3-CPX-5,0.26,18.94,1.13,0,14.23,11.24,0,53.08,0.83,0.3,100,NBBC
BBC3-CPX-6,0.36,18.5,1.18,0,15.45,10.86,0,52.7,0.62,0.33,100,NBBC
BBC3-CPX-7,0.25,16.94,1.72,0,12.9,14.08,0,52.83,0.96,0.31,100,NBBC
BBC3-CPX-8,0.19,9.42,0.69,0,22.92,13.57,0,52.16,0.54,0.5,100,NBBC
BBC3-CPX-9,0.32,17.97,1,0,16.31,10.24,0,53.15,0.59,0.43,100,NBBC
BBC3-CPX-10,0.3,19.25,1.79,0,9.68,14.33,0,53.82,0.82,0,100,NBBC
Average,0.27,17.11,1.21,0,14.92,12.44,0,53.02,0.74,0.3,100,NBBC
BBC4-CPX-1,0.31,19.01,1.07,0,13.98,11.32,0,53.16,0.72,0.44,100,NBBC
BBC4-CPX-2,0.23,17.68,0.45,0,18.31,9.58,0,52.97,0.33,0.45,100,NBBC
BBC4-CPX-3,0.34,19.14,1.73,0,10.82,13.44,0,53.21,1.04,0.27,100,NBBC
BBC4-CPX-4,0,18.45,1.78,0,10.51,14.53,0,53.46,0.94,0.33,100,NBBC
BBC4-CPX-5,0.28,17.07,1.54,0,12.8,13.55,0,53.26,1.02,0.49,100,NBBC
BBC4-CPX-6,0.29,17.51,1.84,0,12.1,14.25,0,52.8,0.95,0.26,100,NBBC
BBC4-CPX-7,0.21,17.01,1.41,0,12.78,13.82,0,53.08,1.09,0.61,100,NBBC
BBC4-CPX-8,0,16.02,1.58,0,12.66,15.19,0,53.7,0.85,0,100,NBBC
BBC4-CPX-9,0,15.09,1.17,0,16.93,13.02,0,52.46,0.85,0.47,100,NBBC
BBC4-CPX-10,0.28,15.39,1.45,0,14.12,14.14,0,53.2,0.98,0.44,100,NBBC
BBC4-CPX-11,0.25,18.15,2.18,0.26,10.91,14.66,0,52.81,0.8,0,100,NBBC
Average,0.2,17.32,1.47,0.02,13.27,13.41,0,53.1,0.87,0.34,100,NBBC
BBC5-CPX-1,0.22,18.59,1.13,0,14,11.57,0,53.3,0.69,0.5,100,NBBC
BBC5-CPX-2,0.23,18.54,1.4,0,14.43,11.26,0,53.06,0.66,0.42,100,NBBC
BBC5-CPX-3,0.23,18.34,0.84,0,20.8,6.78,0,52.16,0.35,0.51,100,NBBC
BBC5-CPX-4,0,18.2,1.37,0,13.12,12.62,0,53.37,0.8,0.51,100,NBBC
BBC5-CPX-5,0.22,18.68,1.18,0,14.87,11.02,0,52.9,0.71,0.42,100,NBBC
BBC5-CPX-6,0.26,18.84,1.5,0,12.6,12.16,0,53.25,0.96,0.43,100,NBBC
BBC5-CPX-7,0.18,18.67,1.33,0,13.18,12.11,0,53.25,0.95,0.33,100,NBBC
BBC5-CPX-8,0.19,18.6,1.15,0,14.79,11.18,0,53.38,0.71,0,100,NBBC
BBC5-CPX-9,0.23,18.74,1.62,0,11.97,13.16,0,53,1,0.28,100,NBBC
BBC5-CPX-10,0.28,19.13,1.66,0,11.79,13.01,0,52.93,0.89,0.3,100,NBBC
BBC5-CPX-11,0.17,18.14,0.98,0,17.11,10.05,0,52.34,0.84,0.38,100,NBBC
Average,0.2,18.59,1.29,0,14.42,11.36,0,52.99,0.78,0.37,100,NBBC
BBC6-CPX-1,0.28,19.86,1.97,0.26,6.81,15.93,0,54.29,0.61,0,100,NBBC
BBC6-CPX-2,0.23,19.14,2.06,0.54,7.19,16.1,0,53.91,0.84,0,100,NBBC
BBC6-CPX-3,0.28,16.41,2.18,0.28,9.65,16.27,0,53.19,1.33,0.4,100,NBBC
BBC6-CPX-4,0.29,20.26,2.07,0.3,7.31,14.89,0,53.43,1.46,0,100,NBBC
BBC6-CPX-5,0.34,19.87,2.55,0.24,7.81,14.89,0,52.76,1.55,0,100,NBBC
BBC6-CPX-6,0.23,20.44,2.37,0.43,6.44,15.7,0,53.47,0.92,0,100,NBBC
BBC6-CPX-7,0.21,16.63,2.24,0,8.59,17.02,0,54.46,0.85,0,100,NBBC
BBC6-CPX-8,0.28,19.04,1.29,0.3,7.12,16.43,0,54.8,0.74,0,100,NBBC
BBC6-CPX-9,0.2,18.66,1.98,0.55,7.34,16.31,0,54.14,0.81,0,100,NBBC
BBC6-CPX-10,0.34,19.97,2.75,0.48,6.81,14.91,0,53.87,0.86,0,100,NBBC
BBC6-CPX-11,0.23,19.04,2.46,0.35,7.7,15.81,0,53.36,1.05,0,100,NBBC
BBC6-CPX-12,0.33,20.17,2.54,0.27,7.29,14.92,0,52.89,1.26,0.33,100,NBBC
Average,0.27,19.12,2.21,0.33,7.51,15.77,0,53.71,1.02,0.06,100,NBBC
BBC7-CPX-1,0.22,18.34,0.75,0,16.82,10.02,0,53.12,0.4,0.33,100,NBBC
BBC7-CPX-2,0.18,18.38,1,0,15.41,11.12,0,52.87,0.74,0.3,100,NBBC
BBC7-CPX-3,0.2,16.72,0.99,0,16.85,11.4,0,52.83,0.66,0.36,100,NBBC
BBC7-CPX-4,0.25,18.9,1.06,0,14.68,11.12,0,53.08,0.54,0.36,100,NBBC
BBC7-CPX-5,0,17.69,0.56,0,18.41,9.61,0,52.83,0.39,0.51,100,NBBC
BBC7-CPX-6,0,17.6,0.73,0,18.15,9.64,0,53.09,0.43,0.36,100,NBBC
Average,0.14,17.94,0.85,0,16.72,10.49,0,52.97,0.53,0.37,100,NBBC
BBC8-CPX-1,0.28,18.79,1.29,0,13.55,11.54,0,53.04,0.97,0.54,100,NBBC
BBC8-CPX-2,0.3,18.69,1.28,0,12.98,12.46,0,53.15,0.83,0.31,100,NBBC
BBC8-CPX-3,0,18.04,1.19,0,14.73,11.76,0,53.22,0.67,0.39,100,NBBC
BBC8-CPX-4,0.2,18.99,1.06,0,13.89,11.91,0,52.95,0.7,0.31,100,NBBC
BBC8-CPX-5,0.3,18.31,1.5,0,12.89,12.45,0,53.39,0.84,0.32,100,NBBC
BBC8-CPX-6,0.21,14.94,1.46,0,14.34,14.57,0,53.41,1.07,0,100,NBBC
BBC8-CPX-7,0.25,17.68,1.29,0,13.93,12.26,0,53.34,0.88,0.39,100,NBBC
BBC8-CPX-8,0.3,18.39,1.03,0,14.76,11.34,0,53.12,0.67,0.39,100,NBBC
Average,0.23,17.98,1.26,0,13.88,12.29,0,53.2,0.83,0.33,100,NBBC
BBC9-CPX-1,0.22,17.3,1.02,0,14.77,12.29,0,53.33,0.69,0.38,100,NBBC
BBC9-CPX-2,0.32,17.46,1.26,0,14.04,12.4,0,53.22,0.92,0.38,100,NBBC
BBC9-CPX-3,0.33,17.69,1.32,0,13.94,12.38,0,53.03,0.87,0.43,100,NBBC
BBC9-CPX-4,0.24,13.78,0.91,0,17.36,13.36,0,53.07,0.8,0.49,100,NBBC
BBC9-CPX-5,0.22,15.47,1.09,0,15.63,13.13,0,53.15,0.9,0.4,100,NBBC
BBC9-CPX-6,0.33,17.11,1.26,0,14.51,12.6,0,52.86,0.95,0.38,100,NBBC
BBC9-CPX-7,0.18,17.89,1.14,0,13.34,12.46,0,53.74,0.8,0.44,100,NBBC
BBC9-CPX-8,0,17.78,1.16,0,13.89,12.3,0,53.76,0.74,0.37,100,NBBC
BBC9-CPX-9,0.29,17.73,1.35,0,13.97,12.33,0,53.13,0.7,0.5,100,NBBC
Average,0.24,16.91,1.17,0,14.61,12.58,0,53.25,0.82,0.42,100,NBBC
BBC10-CPX-1,0.22,17.51,1.45,0,13.7,13.24,0,52.75,0.8,0.32,100,NBBC
BBC10-CPX-2,0.35,16.52,1.29,0,14.71,12.53,0,53.36,0.88,0.35,100,NBBC
BBC10-CPX-3,0.65,16.78,1.41,0,15.63,11.99,0,52.44,0.66,0.45,100,NBBC
BBC10-CPX-4,0.4,17.22,1.44,0,13.87,12.8,0,52.87,0.97,0.43,100,NBBC
BBC10-CPX-5,0.23,17.16,1.34,0,13.52,13.17,0,53.21,0.93,0.43,100,NBBC
BBC10-CPX-6,0.22,17.37,1.38,0,14.27,12.52,0,53.02,0.9,0.31,100,NBBC
BBC10-CPX-7,0.19,16.79,1.29,0,15.38,12.08,0,53.36,0.6,0.3,100,NBBC
BBC10-CPX-8,0.26,17.28,1.39,0,14.85,12.19,0,53.14,0.89,0,100,NBBC
BBC10-CPX-9,0,16.9,1.19,0,15.01,12.56,0,53.22,0.81,0.31,100,NBBC
Average,0.28,17.06,1.35,0,14.55,12.56,0,53.04,0.83,0.32,100,NBBC
BBC11A-CPX-1,0.32,17.11,1.07,0,18.07,9.96,0,52.27,0.64,0.56,100,NBBC
BBC11A-CPX-2,0.27,16.78,1.19,0,18.31,9.67,0,52.68,0.75,0.36,100,NBBC
BBC11A-CPX-3,0.33,17.47,1.06,0,17.71,9.87,0,52.4,0.6,0.57,100,NBBC
BBC11A-CPX-4,0.3,16.73,1.22,0,18.31,9.94,0,52.64,0.52,0.33,100,NBBC
BBC11A-CPX-5,0.21,16.9,0.96,0,20.04,9.06,0,51.69,0.63,0.51,100,NBBC
BBC11A-CPX-6,0.28,17.26,1.09,0,19.09,9.14,0,52.18,0.43,0.53,100,NBBC
BBC11A-CPX-7,0.25,17.67,0.9,0,16.94,10.57,0,52.54,0.6,0.54,100,NBBC
BBC11A-CPX-8,0.26,17.09,1,0,19.27,9.15,0,52.14,0.59,0.49,100,NBBC
BBC11A-CPX-9,0.26,17.25,0.99,0,17.59,10.23,0,52.53,0.67,0.48,100,NBBC
BBC11A-CPX-10,0.2,17.2,1.06,0,18.18,9.95,0,52.35,0.51,0.55,100,NBBC
Average,0.27,17.15,1.05,0,18.35,9.75,0,52.34,0.59,0.49,100,NBBC
BBC12-CPX-1,0.31,16.96,1.02,0,18.14,9.9,0,52.35,0.53,0.79,100,NBBC
BBC12-CPX-2,0.26,17.25,0.88,0,18.39,9.81,0,52.39,0.65,0.37,100,NBBC
BBC12-CPX-3,0.34,17.19,1.21,0,18.74,9.26,0,51.84,0.74,0.69,100,NBBC
BBC12-CPX-4,0.21,17.31,0.82,0,18.78,9.26,0,52.57,0.51,0.53,100,NBBC
BBC12-CPX-5,0.29,16.73,1.14,0,19.19,9.39,0,52.15,0.51,0.59,100,NBBC
BBC12-CPX-6,0.19,16.93,1.06,0,18.07,9.96,0,52.85,0.52,0.42,100,NBBC
BBC12-CPX-7,0.21,17.05,1.06,0,18.28,9.89,0,52.36,0.58,0.57,100,NBBC
BBC12-CPX-8,0.26,17.09,1.1,0,18.78,9.29,0,52.09,0.59,0.79,100,NBBC
BBC12-CPX-9,0.24,16.97,1.07,0,19.24,9.18,0,52.17,0.5,0.63,100,NBBC
BBC12-CPX-10,0.35,17.14,1,0,18.69,9.43,0,51.91,0.75,0.74,100,NBBC
BBC12-CPX-11,0.35,17.11,0.97,0,18.59,9.61,0,52.53,0.48,0.36,100,NBBC
BBC12-CPX-12,0.29,17.1,1.01,0,18.78,9.39,0,52.3,0.49,0.64,100,NBBC
BBC12-CPX-13,0.29,16.59,1.07,0,19.09,9.74,0,51.74,0.77,0.71,100,NBBC
Average,0.28,17.03,1.03,0,18.67,9.55,0,52.25,0.59,0.6,100,NBBC
BBC13-CPX-1,0.36,18.79,2.02,0,10.02,14.41,0,52.95,1.15,0.3,100,NBBC
BBC13-CPX-2,0.19,19.04,1.46,0,10.45,13.99,0,53.6,0.97,0.31,100,NBBC
BBC13-CPX-3,0.31,19.89,2.68,0.3,8.97,13.92,0,52.96,0.97,0,100,NBBC
BBC13-CPX-4,0.31,18.86,1.52,0,11.46,13.08,0,53.14,1.23,0.4,100,NBBC
BBC13-CPX-5,0.28,19.08,1.3,0,11.4,13.26,0,53.69,1,0,100,NBBC
BBC13-CPX-6,0.34,19.63,2.26,0,9.64,13.72,0,53.18,1.24,0,100,NBBC
BBC13-CPX-7,0.29,18.84,1.44,0,10.94,13.43,0,53.8,0.83,0.43,100,NBBC
BBC13-CPX-8,0.27,19.09,1.46,0,11.83,13.1,0,53.23,1.02,0,100,NBBC
BBC13-CPX-9,0.35,19.81,1.58,0,8.63,14.5,0,54.32,0.8,0,100,NBBC
BBC13-CPX-10,0.29,19.64,2.18,0,10.83,12.97,0,52.72,1.36,0,100,NBBC
BBC13-CPX-11,0.29,19.5,1.74,0,10,13.55,0,53.22,1.3,0.39,100,NBBC
Average,0.3,19.29,1.79,0.03,10.38,13.63,0,53.35,1.08,0.17,100,NBBC
BBC14-CPX-1,0.3,18.46,1.41,0,12.73,13.86,0,51.84,1.05,0.35,100,NBBC
BBC14-CPX-2,0.38,19.42,2.13,0,9.66,13.56,0,53.7,0.68,0.47,100,NBBC
BBC14-CPX-3,0.38,19.42,2.13,0,9.66,13.56,0,53.7,0.68,0.47,100,NBBC
BBC14-CPX-4,0.3,19.46,2.37,0.39,9.48,13.93,0,53.29,0.79,0,100,NBBC
BBC14-CPX-5,0.31,19.62,2.54,0.67,8.09,14.47,0,53.03,0.96,0.32,100,NBBC
BBC14-CPX-6,0.36,18.79,2.52,0.58,8.56,14.92,0,53,0.93,0.33,100,NBBC
BBC14-CPX-7,0.21,19.75,1.28,0,9.27,14.43,0,54.35,0.39,0.32,100,NBBC
BBC14-CPX-8,0.27,19.48,1.85,0,9.23,14.32,0,53.82,0.78,0.24,100,NBBC
BBC14-CPX-9,0.39,20.01,1.85,0,9.28,14.14,0,53.24,0.66,0.42,100,NBBC
BBC14-CPX-10,0.33,17.42,2.14,0.26,10.71,14.87,0,52.93,1,0.34,100,NBBC
BBC14-CPX-11,0.17,21.2,1.05,0,10.92,12.33,0,53.77,0.55,0,100,NBBC
Average,0.31,19.37,1.93,0.17,9.78,14.04,0,53.33,0.77,0.3,100,NBBC
G500A-CPX-1,0.16,17.4,1.55,0.02,15,13,0.03,52.6,0.92,0.35,101,NBBC
G500A-CPX-2,0.19,16.7,1.38,0.03,17.2,12,0.01,51.4,0.88,0.45,100.2,NBBC
G500A-CPX-3,0.19,16.6,1.17,0.01,18.5,11.3,0.01,52,0.75,0.38,100.9,NBBC
G500A-CPX-4,0.19,16.7,1.09,0,18.7,11.2,0,51.7,0.71,0.47,100.8,NBBC
G500A-CPX-5,0.2,17,1.33,0,15.9,12.5,0,51.8,0.76,0.41,99.9,NBBC
G500A-CPX-6,0.18,17,1.29,0.02,17,12.1,0,51.6,0.84,0.37,100.4,NBBC
G500A-CPX-7,0.17,16.7,1.32,0,16.3,12.8,0,51.6,0.81,0.4,100.1,NBBC
G500A-CPX-8,0.2,17.3,1.55,0,14.6,13.5,0.01,51.1,0.9,0.35,99.5,NBBC
G500A-CPX-9,0.19,16.8,1.45,0,15.6,13,0,52,0.86,0.39,100.3,NBBC
G500A-CPX-10,0.18,17.4,1.6,0.02,17.5,11.4,0,51.3,0.9,0.43,100.7,NBBC
Average,0.19,16.96,1.37,0.01,16.63,12.28,0.01,51.71,0.83,0.4,100.4,NBBC
G550B-CPX-1,0.24,17.9,1.86,0.01,13.1,14,0,51.3,1.04,0.3,99.8,NBBC
G550B-CPX-2,0.26,18.2,2.09,0,12.1,14.3,0,51.8,1.16,0.31,100.2,NBBC
G550B-CPX-3,0.27,18.6,2.06,0.02,12.1,14.3,0.01,51.8,1.06,0.23,100.5,NBBC
G550B-CPX-4,0.25,18.9,1.83,0.03,11.5,14.2,0.02,52.3,1.1,0.31,100.4,NBBC
G550B-CPX-5,0.21,16.1,1.61,0,13.9,14.8,0.02,52.1,0.74,0.32,99.8,NBBC
G550B-CPX-6,0.3,19.5,1.7,0.11,10.1,14.6,0,52.2,0.93,0.2,99.6,NBBC
G550B-CPX-7,0.26,18.2,2.39,0.06,11.3,14.1,0,51.7,1.22,0.26,99.5,NBBC
G550B-CPX-8,0.27,19.5,2.39,0.1,11.1,13.8,0.01,51.6,1.22,0.22,100.2,NBBC
G550B-CPX-9,0.27,18.6,1.69,0.05,10.6,15.1,0,52.4,0.96,0.23,99.9,NBBC
G550B-CPX-10,0.33,19.2,2.36,0.12,10.7,14.4,0,51,1.25,0.2,99.6,NBBC
G550B-CPX-11,0.25,19,1.99,0.05,11.3,14.3,0.01,52.4,1.16,0.21,100.7,NBBC
Average,0.26,18.52,2,0.05,11.62,14.35,0.01,51.87,1.08,0.25,100,NBBC
G500C-CPX-1,0.17,17.6,1.01,0.01,22.1,7.7,0.01,50.4,0.7,0.51,100.2,NBBC
G500C-CPX-2,0.19,17,1.07,0.01,21.3,8.8,0,50.3,0.66,0.48,99.8,NBBC
G500C-CPX-3,0.18,17.8,0.92,0,21.6,7.8,0,51.6,0.67,0.58,101.2,NBBC
G500C-CPX-4,0.18,16.8,1.23,0,23,7.6,0,48.9,0.58,0.47,98.8,NBBC
G500C-CPX-5,0.16,16.1,1.26,0,21.5,9.4,0.01,50.3,0.64,0.63,100,NBBC
G500C-CPX-6,0.21,17.6,0.97,0,22.3,7.7,0.02,51,0.66,0.51,101,NBBC
G500C-CPX-7,0.18,17.8,0.97,0,21.7,8,0,50.5,0.6,0.57,100.3,NBBC
G500C-CPX-8,0.19,17.2,0.99,0,22.2,8.1,0,50.9,0.6,0.52,100.7,NBBC
Average,0.18,17.24,1.05,0,21.96,8.14,0.01,50.49,0.64,0.53,100.2,NBBC
H514-CPX-1,0.29,18.8,2.19,0.02,12.5,13.4,0,51.9,1.24,0.25,100.6,NBBC
H514-CPX-2,0.31,18.7,2.3,0.05,12.1,13.6,0.01,51.2,1.23,0.24,99.7,NBBC
H514-CPX-3,0.31,18.4,2.28,0.01,12.2,13.8,0,51.3,1.22,0.31,99.8,NBBC
H514-CPX-4,0.29,19,1.81,0.06,11.8,14.3,0,52.6,0.99,0.23,101.1,NBBC
H514-CPX-5,0.28,18.2,2.12,0.03,13.3,13.5,0.01,51.1,1.23,0.27,100,NBBC
H514-CPX-6,0.26,18.3,1.68,0,12.7,13.8,0.01,52.2,1.03,0.24,100.2,NBBC
H514-CPX-7,0.17,16.5,1.28,0,17.3,12.3,0.01,51.2,0.73,0.32,99.8,NBBC
H514-CPX-8,0.17,20.4,0.61,0.01,15.2,11.1,0,52.8,0.15,0.31,100.8,NBBC
H514-CPX-9,0.2,16.9,1.29,0.01,16.1,12.5,0,51.5,0.74,0.34,99.6,NBBC
H514-CPX-10,0.23,16.5,1.32,0,16.1,13,0,52.1,0.8,0.43,100.5,NBBC
Average,0.25,18.17,1.69,0.02,13.93,13.13,0,51.79,0.94,0.29,100.2,NBBC
H515-CPX-1,0.22,16.9,1.39,0,17.1,12.4,0.02,51.3,0.78,0.43,100.5,NBBC
H515-CPX-2,0.24,17.7,1.66,0.03,13.7,13.8,0.01,52.2,0.97,0.34,100.7,NBBC
H515-CPX-3,0.23,17.9,1.63,0.01,13.5,13.6,0,52.2,0.96,0.32,100.4,NBBC
H515-CPX-4,0.19,17,1.41,0.02,16.1,12.9,0,51.5,0.88,0.38,100.4,NBBC
H515-CPX-5,0.2,16.3,1.3,0,17.6,12.2,0,52,0.73,0.45,100.8,NBBC
H515-CPX-6,0.16,15.8,1.07,0,20,10.6,0,50.7,0.69,0.49,99.5,NBBC
H515-CPX-7,0.2,17.1,1.61,0.01,15.1,13.5,0,52.5,0.96,0.31,101.3,NBBC
H515-CPX-8,0.19,17.1,1.44,0,15.9,13,0,51.7,0.89,0.32,100.5,NBBC
H515-CPX-9,0.19,16.7,1.22,0.01,18,11.4,0,51.5,0.7,0.44,100.2,NBBC
Average,0.2,16.94,1.41,0.01,16.33,12.6,0,51.73,0.84,0.39,100.5,NBBC
G549-CPX-1,0.22,17.5,1.68,0.03,14.8,13.2,0,52.1,0.98,0.28,100.8,NBBC
G549-CPX-2,0.22,17.7,1.75,0,13.9,13.4,0,51.9,0.98,0.35,100.2,NBBC
G549-CPX-3,0.2,17.2,1.65,0,14.7,13.3,0.01,51.9,0.92,0.33,100.2,NBBC
G549-CPX-4,0.19,17.5,1.49,0,15.6,12.9,0,51.8,0.85,0.39,100.7,NBBC
G549-CPX-5,0.11,14.6,1.01,0.01,22.1,10.4,0,50.6,0.6,0.55,100,NBBC
G549-CPX-6,0.18,16.6,1.42,0,17.2,12.4,0,51.1,0.76,0.39,100.1,NBBC
G549-CPX-7,0.25,18.2,2.19,0.03,13.4,13.4,0,51.7,1.12,0.26,100.6,NBBC
G549-CPX-8,0.21,17.1,1.63,0,14.2,13.9,0.01,52.1,0.84,0.34,100.3,NBBC
G549-CPX-9,0.19,17.8,1.62,0.05,13.6,13.7,0,52.2,0.9,0.3,100.4,NBBC
G549-CPX-10,0.22,17.3,1.79,0.04,14,13.6,0.01,51.8,0.96,0.32,100,NBBC
G549-CPX-11,0.19,16.5,1.38,0,17.2,12.6,0,51.7,0.8,0.38,100.8,NBBC
G549-CPX-12,0.23,17.6,1.7,0.06,14.1,13.6,0,51.6,0.93,0.32,100.1,NBBC
Average,0.2,17.13,1.61,0.02,15.4,13.03,0,51.71,0.89,0.35,100.3,NBBC
G528-CPX-1,0.17,17,1.53,0.02,15.2,13.3,0.01,51.7,0.87,0.34,100.1,NBBC
G528-CPX-2,0.22,17.9,1.78,0.04,12.8,13.9,0.01,52.8,0.94,0.27,100.7,NBBC
G528-CPX-3,0.2,17,1.64,0,15,13.1,0,51.8,0.88,0.33,100,NBBC
G528-CPX-4,0.19,17.8,1.7,0.04,14,13.5,0.02,51.5,0.94,0.33,100,NBBC
G528-CPX-5,0.16,17,1.5,0,16.8,12.1,0.01,51.2,0.73,0.38,99.9,NBBC
G528-CPX-6,0.2,17.1,1.63,0,14.7,13.6,0,51.9,0.9,0.33,100.4,NBBC
G528-CPX-7,0.25,16.9,1.56,0,15.4,12.9,0.03,51.4,0.89,0.36,99.7,NBBC
G528-CPX-8,0.17,16.7,1.35,0.02,17.1,12,0.01,51,0.76,0.37,99.5,NBBC
G528-CPX-9,0.22,17.7,1.63,0.02,14.1,13.3,0,51.8,0.86,0.39,100,NBBC
G528-CPX-10,0.24,17.3,1.57,0,15.1,13.3,0,51.5,0.94,0.4,100.4,NBBC
G528-CPX-11,0.19,17.5,1.68,0,13.9,13.5,0,52.5,0.91,0.3,100.5,NBBC
Average,0.2,17.26,1.6,0.01,14.92,13.14,0.01,51.74,0.87,0.35,100.1,NBBC
G527-CPX-1,0.18,16.6,1.2,0.03,18.7,11.4,0.01,51.6,0.64,0.45,100.8,NBBC
G527-CPX-2,0.18,17.7,1.6,0,14.7,13.1,0.01,51.6,0.89,0.33,100.1,NBBC
G527-CPX-3,0.16,16.6,1.22,0,18.7,11.2,0.01,51.2,0.6,0.46,100.2,NBBC
G527-CPX-4,0.22,17.9,1.66,0.02,13.7,13.8,0,52.5,0.96,0.31,101.1,NBBC
G527-CPX-5,0.24,17.5,1.7,0.02,14.1,13.6,0.03,52,0.92,0.32,100.4,NBBC
G527-CPX-6,0.2,16.8,1.59,0.04,15.4,12.9,0,51.9,0.86,0.37,100.1,NBBC
G527-CPX-7,0.2,17.1,1.62,0.04,14.7,13.1,0,51.8,0.92,0.39,99.9,NBBC
G527-CPX-8,0.23,17.4,1.66,0.03,13.9,13.5,0,52.1,0.94,0.29,100.1,NBBC
G527-CPX-9,0.19,17.6,1.72,0,14.2,13.4,0.01,51.7,0.99,0.32,100.1,NBBC
