Sample,Na2O,CaO,Al2O3,FeO,MgO,K2O,SiO2,Total,Megacryst_loc,Unit,loc
SBI10b-Rim-7,3.87,12.53,28.98,0.66,0,0.2,53.77,100.01,BRD rim,BRD,rim
SBI10b-Rim-8,5,10.72,27.19,0.63,0,0.4,56.06,100,BRD rim,BRD,rim
SBI10b-Rim-9,7.44,5.6,23.03,0,0,0.9,63.03,100,BRD rim,BRD,rim
Average,4.41,11.28,28.83,0.53,0.03,0.26,54.67,100,BRD rim,BRD,rim
SBI10-gm-1,4.37,11.68,28.13,0.59,0,0.16,55.07,100,BRD groundmass,BRD,groundmass
SBI10-gm-2,4.29,11.46,27.83,0.78,0.24,0.28,55.11,99.99,BRD groundmass,BRD,groundmass
SBI10-gm-3,3.79,11.31,28.48,2.63,0.48,0,53.29,99.98,BRD groundmass,BRD,groundmass
SBI10-gm-4,3.67,12.69,29.46,0.4,0,0.19,53.59,100,BRD groundmass,BRD,groundmass
SBI10-gm-5,3.22,13.14,29.08,1.33,0.3,0.14,52.79,100,BRD groundmass,BRD,groundmass
SBI10-gm-6,6.46,8.33,24.8,0.53,0,0.49,59.37,99.98,BRD groundmass,BRD,groundmass
SBI10-gm-7,3.73,12.75,29.17,0.48,0,0.18,53.69,100,BRD groundmass,BRD,groundmass
SBI10-gm-8,5.21,10.17,26.8,0.46,0,0.25,57.12,100.01,BRD groundmass,BRD,groundmass
SBI10-gm-9,3.67,12.69,29.73,0.26,0,0.17,53.47,99.99,BRD groundmass,BRD,groundmass
Average,4.27,11.58,28.16,0.83,0.11,0.21,54.83,99.99,BRD groundmass,BRD,groundmass
B268a-Core-1,3.69,14.73,31.27,0.38,0,0,49.94,100.01,BRD core,BRD,core
B268a-Core-2,3.48,15.41,31.46,0.43,0,0,49.21,99.99,BRD core,BRD,core
B268a-Core-3,3.62,14.87,31.54,0,0,0,49.98,100.01,BRD core,BRD,core
B268a-Core-4,3.54,15.49,31.26,0.47,0,0,49.24,100,BRD core,BRD,core
B268a-Core-5,5.27,13.6,30.89,0.58,0.2,0.31,49.13,99.98,BRD core,BRD,core
B268a-Core-6,3.39,15.24,31.25,0.75,0,0,49.37,100,BRD core,BRD,core
B268a-Core-7,3.95,14.07,31.55,0.48,0,0,49.94,99.99,BRD core,BRD,core
B268a-Core-8,3.43,15.42,31.46,0.48,0,0,49.2,99.99,BRD core,BRD,core
B268a-Core-9,3.87,14.94,31.53,0.51,0,0.13,49.01,99.99,BRD core,BRD,core
B268a-Core-10,3.59,15.11,31.66,0,0,0,49.65,100.01,BRD core,BRD,core
B268a-Core-11,3.54,14.98,31.08,0.64,0.29,0,49.46,99.99,BRD core,BRD,core
B268a-Core-12,3.69,14.03,31.81,0.5,0,0,49.97,100,BRD core,BRD,core
B268a-Core-13,3.6,14.82,31.71,0.39,0,0,49.47,99.99,BRD core,BRD,core
B268a-Core-14,3.65,14.48,30.18,1.46,1.03,0,49.19,99.99,BRD core,BRD,core
B268a-Core-15,4.6,14.69,30.89,0.59,0,0.2,49.02,99.99,BRD core,BRD,core
B268a-Core-16,3.59,15.01,31.59,0,0,0,49.81,100,BRD core,BRD,core
B268a-Core-17,4.69,14.36,30.68,0.32,0,0.26,49.68,99.99,BRD core,BRD,core
B268a-Core-18,3.55,15.3,31.29,0.58,0,0.14,49.12,99.98,BRD core,BRD,core
B268a-Core-19,3.65,14.93,31.47,0.7,0,0,49.25,100,BRD core,BRD,core
B268a-Core-20,3.82,14.55,31.21,0.43,0,0,49.98,99.99,BRD core,BRD,core
B268a-Core-21,3.98,12.03,29.58,0.91,0.68,1.12,51.71,100.01,BRD core,BRD,core
B268a-Core-22,3.73,14.34,31.56,0,0,0,50.37,100,BRD core,BRD,core
B268a-Core-23,3.25,15.14,31.19,0,0,0.14,50.28,100,BRD core,BRD,core
B268a-Core-24,3.5,14.57,31.18,0.37,0.24,0,50.14,100,BRD core,BRD,core
B268a-Core-25,3.69,14.56,31.07,0.42,0,0,50.26,100,BRD core,BRD,core
B268a-Core-26,3.83,14.32,31.49,0,0,0.15,50.22,100.01,BRD core,BRD,core
B268a-Core-27,3.7,13.75,31.48,0.45,0,0.12,50.49,99.99,BRD core,BRD,core
Average,3.77,14.62,31.23,0.44,0.09,0.1,49.74,100,BRD core,BRD,core
B268a-Rim-1,3.96,14.17,31.48,0.57,0,0,49.82,100,BRD rim,BRD,rim
B268a-Rim-2,3.71,14.83,31.09,0.31,0,0.17,49.88,99.99,BRD rim,BRD,rim
B268a-Rim-3,3.4,15.66,31.19,0.55,0,0.17,49.03,100,BRD rim,BRD,rim
B268a-Rim-4,3.63,14.68,31.25,0.35,0,0,50.09,100,BRD rim,BRD,rim
Average,3.68,14.84,31.25,0.45,0,0.09,49.71,100,BRD rim,BRD,rim
B268b-Core-1,4.43,12.76,29.98,0.89,0.41,0.15,51.38,100,BRD core,BRD,core
B268b-Core-2,4.36,13.68,30.21,0.45,0,0,51.3,100,BRD core,BRD,core
B268b-Core-3,4.27,13.6,30.36,0.54,0,0.2,51.03,100,BRD core,BRD,core
B268b-Core-4,4.28,12.94,30.21,0.36,0,0.19,52.01,99.99,BRD core,BRD,core
B268b-Core-5,4.17,13.24,30.69,0.37,0,0,51.53,100,BRD core,BRD,core
B268b-Core-6,4.11,13.85,30.27,0,0,0,51.78,100.01,BRD core,BRD,core
B268b-Core-7,4.26,13.04,30.77,0.45,0,0,51.48,100,BRD core,BRD,core
B268b-Core-8,4.42,13.7,30.61,0,0,0,51.27,100,BRD core,BRD,core
B268b-Core-9,4.28,13.75,30.32,0.47,0,0,51.19,100.01,BRD core,BRD,core
B268b-Core-10,4.42,13.1,30.43,0.52,0.19,0,51.34,100,BRD core,BRD,core
B268b-Core-11,4.05,13.59,29.67,0.31,0,0,52.38,100,BRD core,BRD,core
B268b-Core-12,4.28,13.51,30.18,0.37,0,0.13,51.54,100.01,BRD core,BRD,core
Average,4.28,13.4,30.31,0.39,0.05,0.06,51.52,100,BRD core,BRD,core
B268b-Rim-1,5.36,11.56,29.24,0.6,0,0.29,52.95,100,BRD rim,BRD,rim
B268b-Rim-2,4.15,13.27,30.68,0.41,0,0.15,51.34,100,BRD rim,BRD,rim
B268b-Rim-3,4.19,13.33,30.51,0.55,0,0.17,51.26,100.01,BRD rim,BRD,rim
B268b-Rim-4,4.35,13.34,30.37,0.43,0,0.17,51.34,100,BRD rim,BRD,rim
B268b-Rim-5,7.5,9.22,26.73,0,0,0,56.55,100,BRD rim,BRD,rim
B268b-Rim-6,6.47,9.71,26.83,1.02,0.2,0.32,55.46,100.01,BRD rim,BRD,rim
Average,5.34,11.74,29.06,0.5,0.03,0.18,53.15,100,BRD rim,BRD,rim
B268-gm-1,4.42,13.11,30.79,,,0.26,51.42,100,BRD groundmass,BRD,groundmass
B268-gm-2,2.25,5.51,16.21,18.14,8.18,0.27,49.45,100.01,BRD groundmass,BRD,groundmass
B268-gm-3,5.01,12.14,29.96,,,0.3,52.59,100,BRD groundmass,BRD,groundmass
B268-gm-4,5.47,10.93,28.96,,,0.45,54.19,100,BRD groundmass,BRD,groundmass
B268-gm-5,5.7,10.26,27.22,0.57,,0.5,55.74,99.99,BRD groundmass,BRD,groundmass
B268-gm-6,4.68,12.97,30.85,,,,51.49,99.99,BRD groundmass,BRD,groundmass
B268-gm-7,5.66,10.61,28.33,0.51,,0.55,54.35,100.01,BRD groundmass,BRD,groundmass
B268-gm-8,5.3,11.04,29.32,,,0.41,53.93,100,BRD groundmass,BRD,groundmass
B268-gm-9,5.54,10.8,28.72,,,0.56,54.38,100,BRD groundmass,BRD,groundmass
B268-gm-10,3.42,9.78,33.79,0.63,,,52.37,99.99,BRD groundmass,BRD,groundmass
B268-gm-11,4.81,12.08,30.12,,,,52.99,100,BRD groundmass,BRD,groundmass
B268-gm-12,5.75,9.3,26.47,2.87,1.22,0.39,53.99,99.99,BRD groundmass,BRD,groundmass
B268-gm-13,5.15,11.88,29.27,,,0.45,53.26,100.01,BRD groundmass,BRD,groundmass
B268-gm-14,4,13.7,31.44,0.52,,0.23,50.11,100,BRD groundmass,BRD,groundmass
B268-gm-15,6.05,10.47,28.45,,,0.37,54.66,100,BRD groundmass,BRD,groundmass
B268-gm-16,4.99,10.37,27.53,0.26,0,0.21,56.63,99.99,BRD groundmass,BRD,groundmass
B268-gm-17,4.12,11.98,28.96,0.35,0,0.25,54.35,100.01,BRD groundmass,BRD,groundmass
B268-gm-18,4.58,11.53,28.34,0.28,0,0.3,54.96,99.99,BRD groundmass,BRD,groundmass
B268-gm-19,4.46,11.62,28.37,0,0,0.2,55.35,100,BRD groundmass,BRD,groundmass
B268-gm-20,4.02,12.17,28.81,0.32,0,0.19,54.49,100,BRD groundmass,BRD,groundmass
B268-gm-21,6.61,7.99,26.25,0,0,0.13,59.01,99.99,BRD groundmass,BRD,groundmass
B268-gm-22,4.31,11.97,29.01,0,0,0.2,54.5,99.99,BRD groundmass,BRD,groundmass
Average,4.83,11.01,28.51,1.88,1.04,0.33,53.83,100,BRD groundmass,BRD,groundmass
