AREA,PERIMETER,GEMGEOU_,GEMGEOU_ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,GEOL_1,INTRP_DATE,BASIS1,BASIS2,MGSCODE,SYMBOL,MAPLABEL,UNIT_CODE,DESCRIPTN,REFRNCE,area_1
178668.90000,1928.62100,"0","0",,GU,AS,MGS,"20000630","660137","5310011","15",DMD,"19770000",OBI,,"0","0",asau,dau,AS - anorthositic rx undiff,,178668.875
67076.22000,1392.32100,"0","0",,GU,AS,MGS,"20000630","676269","5310190","15",D&B,"19770000",OBI,IGP,"0","0",emmd,mem,Eagle Mtn qtz fe-monzodiorite,,67076.219
50472.67000,1433.82900,"0","0",,GU,AS,MGS,"20000630","675761","5310136","15",D&B,"19770000",OBI,,"0","0",asau,dau,AS - anorthositic rx undiff,,50472.672
18946.86000,791.11730,"0","0",,GU,AS,MGS,"20000630","675723","5309941","15",D&B,"19770000",OBI,IGP,"0","0",emmd,mem,Eagle Mtn qtz fe-monzodiorite,,18946.859
71653.13000,1256.75000,"0","0",,GU,AS,MGS,"20000630","693168","5309636","15",DMD,"19770000",OBI,,"-1","-1",nsbh,nhu,NSVG-basaltic hornfels,,71653.125
,72170.89000,"0","0",,GU,AS,MGS,"20000630","697887","5307261","15",D&B,"19770000",OBI,,"0","0",nnu,nnu,NSVGn - undifferentiated,,29251515.930
58799.95000,1582.73900,"0","0",,GU,AS,MGS,"20000630","674979","5309096","15",D&B,"19770000",OBI,IGP,"0","0",emmd,mem,Eagle Mtn qtz fe-monzodiorite,,58799.953
188601.60000,2916.95200,"0","0",,GU,AS,MGS,"20000630","674943","5308568","15",D&B,"19770000",OBI,,"-1","-1",nsbh,nhu,NSVG-basaltic hornfels,,188601.578
,4904.73600,"0","0",,GU,AS,MGS,"20000630","662800","5308333","15",DMD,"19770000",OBI,,"-1","-1",fgpu,dfu,granophyric rx undifferentiate,,1009981.438
158608.90000,1561.25100,"0","0",,GU,AS,MGS,"20000630","664101","5308299","15",DMD,"19770000",OBI,,"-1","-1",fgpu,dfu,granophyric rx undifferentiate,,158608.859
42162.05000,802.63960,"0","0",,GU,AS,MGS,"20000630","676420","5307774","15",D&B,"19770000",OBI,,"-1","-1",nsbh,nhu,NSVG-basaltic hornfels,,42162.047
523618.10000,3175.27400,"0","0",,GU,AS,MGS,"20000630","661258","5307173","15",DMD,"19770000",OBI,,"-1","-1",fgpu,dfu,granophyric rx undifferentiate,,523618.047
35268.59000,803.83760,"0","0",,GU,AS,MGS,"20000630","675673","5307538","15",D&B,"19770000",OBI,,"-1","-1",nsbh,nhu,NSVG-basaltic hornfels,,35268.594
167639.90000,4145.25300,"0","0",,GU,AS,MGS,"20000630","691758","5305975","15",DMD,"19770000",OBI,,"-1","-1",bppd,mbl,Brule Lake Pl porphyritic diab,,167234.765
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","658495","5308494","15",DMD,"19770000",OBI,,"-1","-1",nsbh,nhu,NSVG-basaltic hornfels,,780583.411
252126.75860,4789.77945,"0","0",,GU,AS,MGS,"20000630","671045","5318593","15",D&B,"19770000",OBI,,"-1","-1",nltr,den,Nathan's LS-troctolitic cums,,252126.760
,59861.67528,"0","0",,GU,AS,MGS,"20000630","671607","5317312","15",DMD,"19770000",OBI,,"-1","-1",nlgb,den,Nathan's LS-gabbroic cums,,26568328.550
522912.16025,5347.33576,"0","0",,GU,AS,MGS,"20000630","673906","5318654","15",D&B,"19770000",OBI,,"-1","-1",nltr,den,Nathan's LS-troctolitic cums,,522912.160
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","685412","5308278","15",DMD,"19770000",OBI,,"-1","-1",nsbh,nhu,NSVG-basaltic hornfels,,131100.161
,6236.40523,"0","0",,GU,AS,MGS,"20000630","687201","5316018","15",DMD,"19770000",OBI,,"0","0",nrr,nru,NSVGr - rhyolite,,1309247.969
,10073.58240,"0","0",,GU,AS,MGS,"20000630","693580","5317948","15",DMD,"19770000",OBI,TOP,"0","0",fclg,dfcl,Cucumber L granophyre,,1258427.968
120475.37329,1940.24062,"0","0",,GU,AS,MGS,"20000630","693307","5318660","15",DMD,"19770000",OBI,,"0","0",fimu,dfu,qtz fe-monzodioritic rx undiff,,120475.374
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","690125","5314608","15",DMD,"19770000",OBI,,"0","0",asau,dau,AS - anorthositic rx undiff,,310196.746
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","668694","5307670","15",FFG,"19500000",OBI,IGP,"0","0",bhfg,mbh,Brule/Hovland-oxide gabbro,,3748488.404
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","668103","5308677","15",D&B,"19770000",OBI,IGP,"0","0",Psh,Psh,Sedimentary hornfels,,40924.842
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","667472","5308889","15",DMD,"19770000",OBI,IGP,"0","0",Psh,Psh,Sedimentary hornfels,,21085.736
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","667172","5309126","15",DMD,"19770000",OBI,IGP,"0","0",Psh,Psh,Sedimentary hornfels,,52481.882
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","666900","5309294","15",DMD,"19770000",OBI,IGP,"0","0",Psh,Psh,Sedimentary hornfels,,19300.134
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","666775","5309142","15",DMD,"19770000",OBI,IGP,"0","0",Psh,Psh,Sedimentary hornfels,,10232.239
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","666465","5309216","15",DMD,"19770000",OBI,IGP,"0","0",Psh,Psh,Sedimentary hornfels,,14000.928
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","668494","5308515","15",D&B,"19770000",OBI,IGP,"0","0",Psh,Psh,Sedimentary hornfels,,57904.517
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","634050","5245972","15",MGB,"19890000",OBS,OBI,"0","0",brod,bbr,Beaver River - oph ol gabbro,,77104.524
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630",,,"15",MGB,"19890000",OBS,OBI,"0","0",vhod,bvh,Victor Head ophitic diabase,,
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","635571","5246461","15",MGB,"19890000",OBS,OBI,"0","0",brod,bbr,Beaver River - oph ol gabbro,,57864.723
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","634426","5242012","15",MGB,"19890000",OBI,TOP,"0","0",brod,bbr,Beaver River - oph ol gabbro,,4201.317
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","634000","5242067","15",MGB,"19890000",OBI,TOP,"0","0",brod,bbr,Beaver River - oph ol gabbro,,79209.745
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","633542","5242381","15",MGB,"19890000",OBI,TOP,"0","0",brod,bbr,Beaver River - oph ol gabbro,,133503.789
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","634156","5241599","15",MGB,"19890000",OBI,TOP,"0","0",brod,bbr,Beaver River - oph ol gabbro,,11127.113
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","632650","5241349","15",MGB,"19890000",OBI,TOP,"0","0",brod,bbr,Beaver River - oph ol gabbro,,313259.563
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","637764","5247169","15",MGB,"19890000",OBI,OBS,"0","0",sbg,bsb,Silver Bay Intr - decus gabbro,,35811.338
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","635791","5246770","15",MGB,"19890000",OBI,OBS,"0","0",sbg,bsb,Silver Bay Intr - decus gabbro,,256644.456
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","635110","5246817","15",MGB,"19890000",OBI,OBS,"0","0",sbg,bsb,Silver Bay Intr - decus gabbro,,203627.386
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","636522","5244268","15",MGB,"19890000",OBI,OBS,"0","0",sbg,bsb,Silver Bay Intr - decus gabbro,,1434.245
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","634004","5241977","15",MGB,"19890000",OBI,OBS,"0","0",sbg,bsb,Silver Bay Intr - decus gabbro,,53897.471
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","633850","5242119","15",MGB,"19890000",OBI,OBS,"0","0",sbg,bsb,Silver Bay Intr - decus gabbro,,4735.506
