tab	samples
sample	site	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
BD12-2	BD12	0			Igneous:Intrusive	Diabase	Diabase		150.4	0.0	0	90.0	-29	This study	SO-CMD-NORTH	g	i
BD12-3	BD12	0			Igneous:Intrusive	Diabase	Diabase		144.4	0.0	0	90.0	-24	This study	SO-CMD-NORTH	g	i
BD12-4	BD12	0			Igneous:Intrusive	Diabase	Diabase		135.4	0.0	0	90.0	-24	This study	SO-CMD-NORTH	g	i
BD12-5	BD12	0			Igneous:Intrusive	Diabase	Diabase		122.4	0.0	0	90.0	-26	This study	SO-CMD-NORTH	g	i
BD12-6	BD12	0			Igneous:Intrusive	Diabase	Diabase		63.4	0.0	0	90.0	-19	This study	SO-CMD-NORTH	g	i
BD12-7	BD12	0			Igneous:Intrusive	Diabase	Diabase		127.6	0.0	0	90.0	-81	This study	SO-CMD-NORTH	g	i
BD12-8	BD12	0			Igneous:Intrusive	Diabase	Diabase		137.4	0.0	0	90.0	-66	This study	SO-CMD-NORTH	g	i
BD13-1	BD13	0			Igneous:Intrusive	Diabase	Diabase		279.8	0.0	0	90.0	-83	This study	SO-CMD-NORTH	g	i
BD13-2	BD13	0			Igneous:Intrusive	Diabase	Diabase		277.9	0.0	0	90.0	-78	This study	SO-CMD-NORTH	g	i
BD13-3	BD13	0			Igneous:Intrusive	Diabase	Diabase		279.5	0.0	0	90.0	-81	This study	SO-CMD-NORTH	g	i
BD13-4	BD13	0			Igneous:Intrusive	Diabase	Diabase		280.3	0.0	0	90.0	-90	This study	SO-CMD-NORTH	g	i
BD13-5	BD13	0			Igneous:Intrusive	Diabase	Diabase		275.5	0.0	0	90.0	-92	This study	SO-CMD-NORTH	g	i
BD13-6	BD13	0			Igneous:Intrusive	Diabase	Diabase		283.7	0.0	0	90.0	-82	This study	SO-CMD-NORTH	g	i
BD13-7	BD13	0			Igneous:Intrusive	Diabase	Diabase		272.9	0.0	0	90.0	-89	This study	SO-CMD-NORTH	g	i
BD13-8	BD13	0			Igneous:Intrusive	Diabase	Diabase		285.8	0.0	0	90.0	-79	This study	SO-CMD-NORTH	g	i
BD14-1	BD14	0			Igneous:Intrusive	Diabase	Diabase		268.7	0.0	0	90.0	-67	This study	SO-CMD-NORTH	g	i
